         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	           1	     10.0484	       -6.76	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.7947	    -53.9465	    -16.6680	    -13.6862	
           2	       react	           1	         -99	           0	           2	           8	       -6.76	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.9663	    -47.6071	    -13.9853	    -11.8579	
           2	       react	           1	         -99	           0	           3	           8	       -6.76	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6141	    -46.3745	    -13.4570	    -11.5057	
           2	       react	           1	         -99	           0	           4	           8	       -6.76	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.3642	    -45.4999	    -13.0822	    -11.2558	
           2	       react	           1	         -99	           0	           5	           8	       -6.76	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.1704	    -44.8215	    -12.7915	    -11.0620	
           2	       react	           1	         -99	           0	           6	           8	       -6.76	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0120	    -44.2673	    -12.5540	    -10.9036	
           2	       react	           1	         -99	           0	           7	           8	       -6.76	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.8782	    -43.7986	    -12.3531	    -10.7697	
           2	       react	           1	         -99	           0	           8	           8	       -6.76	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.7622	    -43.3927	    -12.1791	    -10.6537	
           2	       react	           1	         -99	           0	           9	           8	       -6.76	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.6599	    -43.0346	    -12.0257	    -10.5514	
           2	       react	           1	         -99	           0	          10	           8	       -6.76	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.5684	    -42.7143	    -11.8884	    -10.4599	
           2	       react	           1	         -99	           0	          11	           8	       -6.76	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9663	    -40.6071	    -10.9853	     -9.8579	
           2	       react	           1	         -99	           0	          12	           8	       -6.76	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.6141	    -39.3745	    -10.4570	     -9.5057	
           2	       react	           1	         -99	           0	          13	           8	       -6.76	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.3642	    -38.4999	    -10.0822	     -9.2558	
           2	       react	           1	         -99	           0	          14	           8	       -6.76	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.1704	    -37.8215	     -9.7915	     -9.0620	
           2	       react	           1	         -99	           0	          15	           8	       -6.76	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.0120	    -37.2673	     -9.5540	     -8.9036	
           2	       react	           1	         -99	           0	          16	           8	       -6.76	  1.0000e-11	  2.1000e-10	  7.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.8782	    -36.7986	     -9.3531	     -8.7697	
