         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	           1	     12.4028	       -9.29	  1.0000e-12	  7.5059e-13	  2.2518e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -19.9687	    -73.4917	    -27.4979	    -18.9290	
           2	       react	           1	         -99	           0	           2	          10	       -9.29	  1.0000e-12	  1.5004e-12	  4.5011e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.5480	    -53.7221	    -20.5698	    -12.5083	
           2	       react	           1	         -99	           0	           3	          10	       -9.29	  1.0000e-12	  2.2505e-12	  6.7516e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.1958	    -52.4895	    -20.0415	    -12.1561	
           2	       react	           1	         -99	           0	           4	          10	       -9.29	  1.0000e-12	  3.0007e-12	  9.0022e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.9459	    -51.6149	    -19.6667	    -11.9062	
           2	       react	           1	         -99	           0	           5	          10	       -9.29	  1.0000e-12	  3.7509e-12	  1.1253e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.7521	    -50.9365	    -19.3760	    -11.7124	
           2	       react	           1	         -99	           0	           6	          10	       -9.29	  1.0000e-12	  4.5011e-12	  1.3503e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.5937	    -50.3822	    -19.1385	    -11.5540	
           2	       react	           1	         -99	           0	           7	          10	       -9.29	  1.0000e-12	  5.2513e-12	  1.5754e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.4598	    -49.9136	    -18.9376	    -11.4201	
           2	       react	           1	         -99	           0	           8	          10	       -9.29	  1.0000e-12	  6.0014e-12	  1.8004e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.3438	    -49.5077	    -18.7636	    -11.3041	
           2	       react	           1	         -99	           0	           9	          10	       -9.29	  1.0000e-12	  6.7516e-12	  2.0255e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.2415	    -49.1496	    -18.6102	    -11.2018	
           2	       react	           1	         -99	           0	          10	          10	       -9.29	  1.0000e-12	  7.5018e-12	  2.2505e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.1500	    -48.8293	    -18.4729	    -11.1103	
           2	       react	           1	         -99	           0	          11	          10	       -9.29	  1.0000e-11	  1.5004e-11	  4.5011e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.5480	    -46.7221	    -17.5698	    -10.5083	
           2	       react	           1	         -99	           0	          12	          10	       -9.29	  1.0000e-11	  2.2505e-11	  6.7516e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1958	    -45.4895	    -17.0415	    -10.1561	
           2	       react	           1	         -99	           0	          13	          10	       -9.29	  1.0000e-11	  3.0007e-11	  9.0022e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9459	    -44.6149	    -16.6667	     -9.9062	
           2	       react	           1	         -99	           0	          14	          10	       -9.29	  1.0000e-11	  3.7509e-11	  1.1253e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.7521	    -43.9365	    -16.3760	     -9.7124	
           2	       react	           1	         -99	           0	          15	          10	       -9.29	  1.0000e-11	  4.5011e-11	  1.3503e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.5937	    -43.3822	    -16.1385	     -9.5540	
           2	       react	           1	         -99	           0	          16	          10	       -9.29	  1.0000e-11	  5.2513e-11	  1.5754e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.4598	    -42.9136	    -15.9376	     -9.4201	
           2	       react	           1	         -99	           0	          17	          10	       -9.29	  1.0000e-11	  6.0014e-11	  1.8004e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.3438	    -42.5077	    -15.7636	     -9.3041	
           2	       react	           1	         -99	           0	          18	          10	       -9.29	  1.0000e-11	  6.7516e-11	  2.0255e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.2415	    -42.1496	    -15.6102	     -9.2018	
           2	       react	           1	         -99	           0	          19	          10	       -9.29	  1.0000e-11	  7.5018e-11	  2.2505e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.1500	    -41.8293	    -15.4729	     -9.1103	
           2	       react	           1	         -99	           0	          20	          10	       -9.29	  1.0000e-11	  8.2520e-11	  2.4756e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.0672	    -41.5396	    -15.3487	     -9.0275	
           2	       react	           1	         -99	           0	          21	          10	       -9.29	  1.0000e-10	  1.5754e-10	  4.7261e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.5056	    -39.5738	    -14.5063	     -8.4659	
           2	       react	           1	         -99	           0	          22	          10	       -9.29	  1.0000e-10	  2.3256e-10	  6.9767e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.1673	    -38.3898	    -13.9988	     -8.1276	
           2	       react	           1	         -99	           0	          23	          10	       -9.29	  1.0000e-10	  3.0757e-10	  9.2272e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.9245	    -37.5398	    -13.6346	     -7.8848	
           2	       react	           1	         -99	           0	          24	          10	       -9.29	  1.0000e-10	  3.8259e-10	  1.1478e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.7349	    -36.8763	    -13.3502	     -7.6952	
           2	       react	           1	         -99	           0	          25	          10	       -9.29	  1.0000e-10	  4.5761e-10	  1.3728e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.5794	    -36.3320	    -13.1169	     -7.5397	
           2	       react	           1	         -99	           0	          26	          10	       -9.29	  1.0000e-10	  5.3263e-10	  1.5979e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.4475	    -35.8705	    -12.9191	     -7.4078	
           2	       react	           1	         -99	           0	          27	          10	       -9.29	  1.0000e-10	  6.0765e-10	  1.8229e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.3331	    -35.4699	    -12.7475	     -7.2934	
