         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	           1	     6.99901	    -2.96334	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.0139	    -68.0197	    -21.9362	    -18.9835	
           2	       react	           1	         -99	           0	           2	     6.99902	    -3.11373	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -18.2088	    -61.4013	    -18.9279	    -17.1785	
           2	       react	           1	         -99	           0	           3	     6.99903	     -3.2017	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.1531	    -57.5303	    -17.1685	    -16.1227	
           2	       react	           1	         -99	           0	           4	     6.99903	    -3.26397	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.4054	    -54.7890	    -15.9226	    -15.3750	
           2	       react	           1	         -99	           0	           5	     6.99904	     -3.3122	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.8265	    -52.6670	    -14.9582	    -14.7962	
           2	       react	           1	         -99	           0	           6	     6.99905	    -3.35138	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.3561	    -50.9428	    -14.1749	    -14.3257	
           2	       react	           1	         -99	           0	           7	     6.99906	    -3.38418	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.9619	    -49.4985	    -13.5190	    -13.9315	
           2	       react	           1	         -99	           0	           8	     6.99907	    -3.41221	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.6248	    -48.2640	    -12.9588	    -13.5944	
           2	       react	           1	         -99	           0	           9	     6.99908	    -3.43639	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.3333	    -47.1978	    -12.4755	    -13.3030	
           2	       react	           1	         -99	           0	          10	     6.99909	     -3.4575	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.0785	    -46.2662	    -12.0537	    -13.0481	
           2	       react	           1	         -99	           0	          11	     6.99919	    -3.57348	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6599	    -41.1249	     -9.7495	    -11.6295	
           2	       react	           1	         -99	           0	          12	      6.9993	    -3.62293	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0520	    -38.9685	     -8.8088	    -11.0216	
           2	       react	           1	         -99	           0	          13	     6.99942	    -3.65402	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.6855	    -37.6896	     -8.2629	    -10.6551	
           2	       react	           1	         -99	           0	          14	     6.99954	    -3.67766	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.4258	    -36.7948	     -7.8876	    -10.3954	
           2	       react	           1	         -99	           0	          15	     6.99967	    -3.69748	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.2254	    -36.1122	     -7.6057	    -10.1950	
