         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	           1	           6	       -4.23	  1.0000e-12	  1.0001e-12	  3.0004e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.6203	    -56.2311	    -16.9342	    -15.5121	
           2	       react	           1	         -99	           0	           2	           6	       -4.23	  1.0000e-12	  2.0003e-12	  6.0008e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.0183	    -54.1239	    -16.0311	    -14.9101	
           2	       react	           1	         -99	           0	           3	           6	       -4.23	  1.0000e-12	  3.0004e-12	  9.0011e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.6661	    -52.8912	    -15.5029	    -14.5579	
           2	       react	           1	         -99	           0	           4	           6	       -4.23	  1.0000e-12	  4.0005e-12	  1.2002e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.4162	    -52.0167	    -15.1280	    -14.3080	
           2	       react	           1	         -99	           0	           5	           6	       -4.23	  1.0000e-12	  5.0006e-12	  1.5002e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.2224	    -51.3383	    -14.8373	    -14.1142	
           2	       react	           1	         -99	           0	           6	           6	       -4.23	  1.0000e-12	  6.0008e-12	  1.8002e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.0640	    -50.7840	    -14.5998	    -13.9558	
           2	       react	           1	         -99	           0	           7	           6	       -4.23	  1.0000e-12	  7.0009e-12	  2.1003e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.9301	    -50.3154	    -14.3989	    -13.8219	
           2	       react	           1	         -99	           0	           8	           6	       -4.23	  1.0000e-12	  8.0010e-12	  2.4003e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.8142	    -49.9094	    -14.2249	    -13.7059	
           2	       react	           1	         -99	           0	           9	           6	       -4.23	  1.0000e-12	  9.0011e-12	  2.7003e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.7119	    -49.5514	    -14.0715	    -13.6036	
           2	       react	           1	         -99	           0	          10	           6	       -4.23	  1.0000e-12	  1.0001e-11	  3.0004e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.6203	    -49.2311	    -13.9342	    -13.5121	
