         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     8.27786	       -2.53	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -33.7395	   -123.4868	    -47.6257	    -32.6311	
           4	       react	           1	         -99	           0	           2	           8	       -2.53	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.9029	   -112.4531	    -42.2653	    -29.7945	
           4	       react	           1	         -99	           0	           3	           8	       -2.53	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.5507	   -111.2205	    -41.7370	    -29.4423	
           4	       react	           1	         -99	           0	           4	           8	       -2.53	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.3008	   -110.3459	    -41.3622	    -29.1924	
           4	       react	           1	         -99	           0	           5	           8	       -2.53	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.1070	   -109.6675	    -41.0715	    -28.9986	
           4	       react	           1	         -99	           0	           6	           8	       -2.53	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.9487	   -109.1133	    -40.8339	    -28.8402	
           4	       react	           1	         -99	           0	           7	           8	       -2.53	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.8148	   -108.6446	    -40.6331	    -28.7063	
           4	       react	           1	         -99	           0	           8	           8	       -2.53	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.6988	   -108.2387	    -40.4591	    -28.5903	
           4	       react	           1	         -99	           0	           9	           8	       -2.53	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.5965	   -107.8806	    -40.3056	    -28.4880	
           4	       react	           1	         -99	           0	          10	           8	       -2.53	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.5050	   -107.5603	    -40.1684	    -28.3965	
           4	       react	           1	         -99	           0	          11	           8	       -2.53	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.9029	   -105.4531	    -39.2653	    -27.7945	
           4	       react	           1	         -99	           0	          12	           8	       -2.53	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.5507	   -104.2205	    -38.7370	    -27.4423	
           4	       react	           1	         -99	           0	          13	           8	       -2.53	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.3008	   -103.3459	    -38.3622	    -27.1924	
           4	       react	           1	         -99	           0	          14	           8	       -2.53	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.1070	   -102.6675	    -38.0715	    -26.9986	
