         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
          12	       react	           1	         -99	           0	           1	           6	        2.53	  1.0000e-12	  3.0005e-12	  1.0002e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.4760	   -204.1153	    -82.7812	    -55.4132	
          12	       react	           1	         -99	           0	           2	           6	        2.53	  1.0000e-12	  6.0011e-12	  2.0004e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -55.8740	   -202.0081	    -81.8781	    -54.8112	
          12	       react	           1	         -99	           0	           3	           6	        2.53	  1.0000e-12	  9.0016e-12	  3.0005e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -55.5218	   -200.7755	    -81.3498	    -54.4590	
          12	       react	           1	         -99	           0	           4	           6	        2.53	  1.0000e-12	  1.2002e-11	  4.0007e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -55.2719	   -199.9009	    -80.9750	    -54.2091	
          12	       react	           1	         -99	           0	           5	           6	        2.53	  1.0000e-12	  1.5003e-11	  5.0009e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -55.0781	   -199.2225	    -80.6843	    -54.0153	
          12	       react	           1	         -99	           0	           6	           6	        2.53	  1.0000e-12	  1.8003e-11	  6.0011e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.9197	   -198.6682	    -80.4467	    -53.8569	
          12	       react	           1	         -99	           0	           7	           6	        2.53	  1.0000e-12	  2.1004e-11	  7.0013e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.7858	   -198.1996	    -80.2459	    -53.7230	
          12	       react	           1	         -99	           0	           8	           6	        2.53	  1.0000e-12	  2.4004e-11	  8.0014e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.6699	   -197.7937	    -80.0719	    -53.6070	
          12	       react	           1	         -99	           0	           9	           6	        2.53	  1.0000e-12	  2.7005e-11	  9.0016e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.5675	   -197.4356	    -79.9185	    -53.5047	
          12	       react	           1	         -99	           0	          10	           6	        2.53	  1.0000e-12	  3.0005e-11	  1.0002e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.4760	   -197.1153	    -79.7812	    -53.4132	
          12	       react	           1	         -99	           0	          11	           6	        2.53	  1.0000e-11	  6.0011e-11	  2.0004e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -53.8740	   -195.0081	    -78.8781	    -52.8112	
          12	       react	           1	         -99	           0	          12	           6	        2.53	  1.0000e-11	  9.0016e-11	  3.0005e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -53.5218	   -193.7755	    -78.3498	    -52.4590	
          12	       react	           1	         -99	           0	          13	           6	        2.53	  1.0000e-11	  1.2002e-10	  4.0007e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -53.2719	   -192.9009	    -77.9750	    -52.2091	
          12	       react	           1	         -99	           0	          14	           6	        2.53	  1.0000e-11	  1.5003e-10	  5.0009e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -53.0781	   -192.2225	    -77.6843	    -52.0153	
          12	       react	           1	         -99	           0	          15	           6	        2.53	  1.0000e-11	  1.8003e-10	  6.0011e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.9197	   -191.6682	    -77.4467	    -51.8569	
          12	       react	           1	         -99	           0	          16	           6	        2.53	  1.0000e-11	  2.1004e-10	  7.0013e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.7858	   -191.1996	    -77.2459	    -51.7230	
          12	       react	           1	         -99	           0	          17	           6	        2.53	  1.0000e-11	  2.4004e-10	  8.0014e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.6699	   -190.7937	    -77.0719	    -51.6070	
          12	       react	           1	         -99	           0	          18	           6	        2.53	  1.0000e-11	  2.7005e-10	  9.0016e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.5675	   -190.4356	    -76.9185	    -51.5047	
          12	       react	           1	         -99	           0	          19	           6	        2.53	  1.0000e-11	  3.0005e-10	  1.0002e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.4760	   -190.1153	    -76.7812	    -51.4132	
          12	       react	           1	         -99	           0	          20	           6	        2.53	  1.0000e-11	  3.3006e-10	  1.1002e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.3932	   -189.8256	    -76.6570	    -51.3304	
          12	       react	           1	         -99	           0	          21	           6	        2.53	  1.0000e-10	  6.3011e-10	  2.1004e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -51.8316	   -187.8598	    -75.8145	    -50.7688	
