         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
          14	       react	           1	         -99	           0	           1	           6	        2.53	  1.0000e-12	  1.0183e-12	  3.0550e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -58.0504	   -209.4057	    -84.9228	    -56.9876	
          14	       react	           1	         -99	           0	           2	           6	        2.53	  1.0000e-12	  2.0367e-12	  6.1101e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -57.4484	   -207.2985	    -84.0197	    -56.3856	
          14	       react	           1	         -99	           0	           3	           6	        2.53	  1.0000e-12	  3.0550e-12	  9.1651e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -57.0962	   -206.0658	    -83.4914	    -56.0334	
          14	       react	           1	         -99	           0	           4	           6	        2.53	  1.0000e-12	  4.0734e-12	  1.2220e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.8463	   -205.1913	    -83.1166	    -55.7835	
          14	       react	           1	         -99	           0	           5	           6	        2.53	  1.0000e-12	  5.0917e-12	  1.5275e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.6525	   -204.5129	    -82.8259	    -55.5897	
          14	       react	           1	         -99	           0	           6	           6	        2.53	  1.0000e-12	  6.1101e-12	  1.8330e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.4941	   -203.9586	    -82.5883	    -55.4313	
          14	       react	           1	         -99	           0	           7	           6	        2.53	  1.0000e-12	  7.1284e-12	  2.1385e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.3602	   -203.4900	    -82.3875	    -55.2974	
          14	       react	           1	         -99	           0	           8	           6	        2.53	  1.0000e-12	  8.1468e-12	  2.4440e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.2443	   -203.0841	    -82.2135	    -55.1814	
          14	       react	           1	         -99	           0	           9	           6	        2.53	  1.0000e-12	  9.1651e-12	  2.7495e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.1419	   -202.7260	    -82.0600	    -55.0791	
          14	       react	           1	         -99	           0	          10	           6	        2.53	  1.0000e-12	  1.0183e-11	  3.0550e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.0504	   -202.4057	    -81.9228	    -54.9876	
          14	       react	           1	         -99	           0	          11	           6	        2.53	  1.0000e-11	  2.0367e-11	  6.1101e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -55.4484	   -200.2985	    -81.0197	    -54.3856	
          14	       react	           1	         -99	           0	          12	           6	        2.53	  1.0000e-11	  3.0550e-11	  9.1651e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -55.0962	   -199.0658	    -80.4914	    -54.0334	
          14	       react	           1	         -99	           0	          13	           6	        2.53	  1.0000e-11	  4.0734e-11	  1.2220e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.8463	   -198.1913	    -80.1166	    -53.7835	
          14	       react	           1	         -99	           0	          14	           6	        2.53	  1.0000e-11	  5.0917e-11	  1.5275e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.6525	   -197.5129	    -79.8259	    -53.5897	
          14	       react	           1	         -99	           0	          15	           6	        2.53	  1.0000e-11	  6.1101e-11	  1.8330e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.4941	   -196.9586	    -79.5883	    -53.4313	
          14	       react	           1	         -99	           0	          16	           6	        2.53	  1.0000e-11	  7.1284e-11	  2.1385e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.3602	   -196.4900	    -79.3875	    -53.2974	
          14	       react	           1	         -99	           0	          17	           6	        2.53	  1.0000e-11	  8.1468e-11	  2.4440e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.2443	   -196.0841	    -79.2135	    -53.1814	
          14	       react	           1	         -99	           0	          18	           6	        2.53	  1.0000e-11	  9.1651e-11	  2.7495e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.1419	   -195.7260	    -79.0600	    -53.0791	
          14	       react	           1	         -99	           0	          19	           6	        2.53	  1.0000e-11	  1.0183e-10	  3.0550e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -54.0504	   -195.4057	    -78.9228	    -52.9876	
          14	       react	           1	         -99	           0	          20	           6	        2.53	  1.0000e-11	  1.1202e-10	  3.3605e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -53.9676	   -195.1159	    -78.7986	    -52.9048	
          14	       react	           1	         -99	           0	          21	           6	        2.53	  1.0000e-10	  2.1385e-10	  6.4156e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -53.4060	   -193.1502	    -77.9561	    -52.3432	
          14	       react	           1	         -99	           0	          22	           6	        2.53	  1.0000e-10	  3.1569e-10	  9.4706e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -53.0677	   -191.9662	    -77.4487	    -52.0049	
          14	       react	           1	         -99	           0	          23	           6	        2.53	  1.0000e-10	  4.1752e-10	  1.2526e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.8249	   -191.1162	    -77.0844	    -51.7621	
          14	       react	           1	         -99	           0	          24	           6	        2.53	  1.0000e-10	  5.1936e-10	  1.5581e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.6353	   -190.4527	    -76.8001	    -51.5725	
          14	       react	           1	         -99	           0	          25	           6	        2.53	  1.0000e-10	  6.2119e-10	  1.8636e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.4798	   -189.9084	    -76.5668	    -51.4170	
          14	       react	           1	         -99	           0	          26	           6	        2.53	  1.0000e-10	  7.2303e-10	  2.1691e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -52.3479	   -189.4469	    -76.3690	    -51.2851	
