         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
          10	       react	           1	         -99	           0	           1	     8.95446	        2.53	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -83.3747	   -308.1686	   -133.0371	    -82.3119	
          10	       react	           1	         -99	           0	           2	           8	        2.53	  1.0000e-12	  6.0487e-12	  2.0162e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -73.3449	   -271.2541	   -116.1822	    -72.2821	
          10	       react	           1	         -99	           0	           3	           8	        2.53	  1.0000e-12	  9.0730e-12	  3.0243e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -72.9927	   -270.0214	   -115.6539	    -71.9299	
          10	       react	           1	         -99	           0	           4	           8	        2.53	  1.0000e-12	  1.2097e-11	  4.0325e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -72.7428	   -269.1469	   -115.2791	    -71.6800	
          10	       react	           1	         -99	           0	           5	           8	        2.53	  1.0000e-12	  1.5122e-11	  5.0406e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -72.5490	   -268.4685	   -114.9884	    -71.4862	
          10	       react	           1	         -99	           0	           6	           8	        2.53	  1.0000e-12	  1.8146e-11	  6.0487e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -72.3907	   -267.9142	   -114.7509	    -71.3278	
          10	       react	           1	         -99	           0	           7	           8	        2.53	  1.0000e-12	  2.1170e-11	  7.0568e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -72.2568	   -267.4456	   -114.5500	    -71.1939	
          10	       react	           1	         -99	           0	           8	           8	        2.53	  1.0000e-12	  2.4195e-11	  8.0649e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -72.1408	   -267.0396	   -114.3760	    -71.0780	
          10	       react	           1	         -99	           0	           9	           8	        2.53	  1.0000e-12	  2.7219e-11	  9.0730e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -72.0385	   -266.6816	   -114.2226	    -70.9757	
          10	       react	           1	         -99	           0	          10	           8	        2.53	  1.0000e-12	  3.0243e-11	  1.0081e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -71.9470	   -266.3613	   -114.0853	    -70.8841	
          10	       react	           1	         -99	           0	          11	           8	        2.53	  1.0000e-11	  6.0487e-11	  2.0162e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -71.3449	   -264.2541	   -113.1822	    -70.2821	
          10	       react	           1	         -99	           0	          12	           8	        2.53	  1.0000e-11	  9.0730e-11	  3.0243e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -70.9927	   -263.0214	   -112.6539	    -69.9299	
          10	       react	           1	         -99	           0	          13	           8	        2.53	  1.0000e-11	  1.2097e-10	  4.0325e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -70.7428	   -262.1469	   -112.2791	    -69.6800	
          10	       react	           1	         -99	           0	          14	           8	        2.53	  1.0000e-11	  1.5122e-10	  5.0406e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -70.5490	   -261.4685	   -111.9884	    -69.4862	
          10	       react	           1	         -99	           0	          15	           8	        2.53	  1.0000e-11	  1.8146e-10	  6.0487e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -70.3907	   -260.9142	   -111.7509	    -69.3278	
          10	       react	           1	         -99	           0	          16	           8	        2.53	  1.0000e-11	  2.1170e-10	  7.0568e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -70.2568	   -260.4456	   -111.5500	    -69.1939	
          10	       react	           1	         -99	           0	          17	           8	        2.53	  1.0000e-11	  2.4195e-10	  8.0649e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -70.1408	   -260.0396	   -111.3760	    -69.0780	
          10	       react	           1	         -99	           0	          18	           8	        2.53	  1.0000e-11	  2.7219e-10	  9.0730e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -70.0385	   -259.6816	   -111.2226	    -68.9757	
          10	       react	           1	         -99	           0	          19	           8	        2.53	  1.0000e-11	  3.0243e-10	  1.0081e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -69.9470	   -259.3613	   -111.0853	    -68.8841	
          10	       react	           1	         -99	           0	          20	           8	        2.53	  1.0000e-11	  3.3268e-10	  1.1089e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -69.8642	   -259.0715	   -110.9611	    -68.8014	
          10	       react	           1	         -99	           0	          21	           8	        2.53	  1.0000e-10	  6.3511e-10	  2.1170e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -69.3025	   -257.1057	   -110.1187	    -68.2397	
          10	       react	           1	         -99	           0	          22	           8	        2.53	  1.0000e-10	  9.3755e-10	  3.1252e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -68.9642	   -255.9217	   -109.6112	    -67.9014	
          10	       react	           1	         -99	           0	          23	           8	        2.53	  1.0000e-10	  1.2400e-09	  4.1333e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -68.7214	   -255.0718	   -109.2470	    -67.6586	
          10	       react	           1	         -99	           0	          24	           8	        2.53	  1.0000e-10	  1.5424e-09	  5.1414e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -68.5318	   -254.4083	   -108.9626	    -67.4690	
          10	       react	           1	         -99	           0	          25	           8	        2.53	  1.0000e-10	  1.8448e-09	  6.1495e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -68.3763	   -253.8640	   -108.7293	    -67.3135	
          10	       react	           1	         -99	           0	          26	           8	        2.53	  1.0000e-10	  2.1473e-09	  7.1576e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -68.2444	   -253.4025	   -108.5315	    -67.1816	
          10	       react	           1	         -99	           0	          27	           8	        2.53	  1.0000e-10	  2.4497e-09	  8.1657e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -68.1300	   -253.0019	   -108.3599	    -67.0672	
          10	       react	           1	         -99	           0	          28	           8	        2.53	  1.0000e-10	  2.7522e-09	  9.1738e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -68.0289	   -252.6480	   -108.2082	    -66.9661	
          10	       react	           1	         -99	           0	          29	           8	        2.53	  1.0000e-10	  3.0546e-09	  1.0182e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -67.9383	   -252.3310	   -108.0723	    -66.8755	
          10	       react	           1	         -99	           0	          30	           8	        2.53	  1.0000e-10	  3.3570e-09	  1.1190e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -67.8563	   -252.0440	   -107.9493	    -66.7935	
          10	       react	           1	         -99	           0	          31	           8	        2.53	  1.0000e-09	  6.3814e-09	  2.1271e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -67.2984	   -250.0913	   -107.1125	    -66.2356	
          10	       react	           1	         -99	           0	          32	           8	        2.53	  1.0000e-09	  9.4057e-09	  3.1352e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -66.9614	   -248.9119	   -106.6070	    -65.8986	
          10	       react	           1	         -99	           0	          33	           8	        2.53	  1.0000e-09	  1.2430e-08	  4.1433e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -66.7193	   -248.0644	   -106.2438	    -65.6565	
          10	       react	           1	         -99	           0	          34	           8	        2.53	  1.0000e-09	  1.5454e-08	  5.1515e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -66.5301	   -247.4023	   -105.9600	    -65.4673	
          10	       react	           1	         -99	           0	          35	           8	        2.53	  1.0000e-09	  1.8479e-08	  6.1596e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -66.3749	   -246.8590	   -105.7272	    -65.3121	
          10	       react	           1	         -99	           0	          36	           8	        2.53	  1.0000e-09	  2.1503e-08	  7.1677e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -66.2432	   -246.3982	   -105.5297	    -65.1804	
          10	       react	           1	         -99	           0	          37	           8	        2.53	  1.0000e-09	  2.4527e-08	  8.1758e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -66.1289	   -245.9981	   -105.3582	    -65.0661	
          10	       react	           1	         -99	           0	          38	           8	        2.53	  1.0000e-09	  2.7552e-08	  9.1839e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -66.0279	   -245.6446	   -105.2068	    -64.9651	
          10	       react	           1	         -99	           0	          39	           8	        2.53	  1.0000e-09	  3.0576e-08	  1.0192e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -65.9375	   -245.3280	   -105.0711	    -64.8746	
          10	       react	           1	         -99	           0	          40	           8	        2.53	  1.0000e-09	  3.3600e-08	  1.1200e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -65.8555	   -245.0413	   -104.9482	    -64.7927	
          10	       react	           1	         -99	           0	          41	           8	        2.53	  1.0000e-08	  6.3844e-08	  2.1281e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -65.2980	   -243.0899	   -104.1118	    -64.2352	
          10	       react	           1	         -99	           0	          42	           8	        2.53	  1.0000e-08	  9.4087e-08	  3.1362e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -64.9612	   -241.9110	   -103.6066	    -63.8983	
          10	       react	           1	         -99	           0	          43	           8	        2.53	  1.0000e-08	  1.2433e-07	  4.1444e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -64.7191	   -241.0636	   -103.2435	    -63.6563	
          10	       react	           1	         -99	           0	          44	           8	        2.53	  1.0000e-08	  1.5457e-07	  5.1525e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -64.5299	   -240.4017	   -102.9598	    -63.4671	
          10	       react	           1	         -99	           0	          45	           8	        2.53	  1.0000e-08	  1.8482e-07	  6.1606e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -64.3747	   -239.8585	   -102.7270	    -63.3119	
          10	       react	           1	         -99	           0	          46	           8	        2.53	  1.0000e-08	  2.1506e-07	  7.1687e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -64.2431	   -239.3978	   -102.5295	    -63.1803	
