         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           8	       react	           1	         -99	           0	           1	     12.5436	       -2.53	  1.0000e-12	  1.0015e-12	  3.0046e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -81.2890	   -300.1507	   -129.1906	    -80.1806	
           8	       react	           1	         -99	           0	           2	           8	       -2.53	  1.0000e-12	  2.0109e-12	  6.0326e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.5212	   -117.8386	    -44.4142	    -31.4127	
           8	       react	           1	         -99	           0	           3	           8	       -2.53	  1.0000e-12	  3.0163e-12	  9.0489e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.1690	   -116.6060	    -43.8860	    -31.0605	
           8	       react	           1	         -99	           0	           4	           8	       -2.53	  1.0000e-12	  4.0217e-12	  1.2065e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.9191	   -115.7314	    -43.5111	    -30.8107	
           8	       react	           1	         -99	           0	           5	           8	       -2.53	  1.0000e-12	  5.0272e-12	  1.5082e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.7253	   -115.0530	    -43.2204	    -30.6168	
           8	       react	           1	         -99	           0	           6	           8	       -2.53	  1.0000e-12	  6.0326e-12	  1.8098e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.5669	   -114.4987	    -42.9829	    -30.4585	
           8	       react	           1	         -99	           0	           7	           8	       -2.53	  1.0000e-12	  7.0380e-12	  2.1114e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.4330	   -114.0301	    -42.7820	    -30.3246	
           8	       react	           1	         -99	           0	           8	           8	       -2.53	  1.0000e-12	  8.0435e-12	  2.4130e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.3170	   -113.6242	    -42.6081	    -30.2086	
           8	       react	           1	         -99	           0	           9	           8	       -2.53	  1.0000e-12	  9.0489e-12	  2.7147e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.2147	   -113.2661	    -42.4546	    -30.1063	
           8	       react	           1	         -99	           0	          10	           8	       -2.53	  1.0000e-12	  1.0054e-11	  3.0163e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.1232	   -112.9458	    -42.3173	    -30.0148	
           8	       react	           1	         -99	           0	          11	           8	       -2.53	  1.0000e-11	  2.0109e-11	  6.0326e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.5212	   -110.8386	    -41.4142	    -29.4127	
           8	       react	           1	         -99	           0	          12	           8	       -2.53	  1.0000e-11	  3.0163e-11	  9.0489e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.1690	   -109.6060	    -40.8860	    -29.0605	
