         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
          10	       react	           1	         -99	           0	           1	           6	          -1	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.7771	    -85.7583	    -24.1482	    -26.6689	
          10	       react	           1	         -99	           0	           2	           6	          -1	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.1751	    -83.6511	    -23.2451	    -26.0669	
          10	       react	           1	         -99	           0	           3	           6	          -1	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.8229	    -82.4184	    -22.7168	    -25.7147	
          10	       react	           1	         -99	           0	           4	           6	          -1	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.5730	    -81.5439	    -22.3420	    -25.4648	
          10	       react	           1	         -99	           0	           5	           6	          -1	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.3792	    -80.8655	    -22.0513	    -25.2710	
          10	       react	           1	         -99	           0	           6	           6	          -1	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.2208	    -80.3112	    -21.8137	    -25.1126	
          10	       react	           1	         -99	           0	           7	           6	          -1	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.0869	    -79.8426	    -21.6129	    -24.9787	
          10	       react	           1	         -99	           0	           8	           6	          -1	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.9710	    -79.4366	    -21.4389	    -24.8627	
          10	       react	           1	         -99	           0	           9	           6	          -1	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.8687	    -79.0786	    -21.2855	    -24.7604	
          10	       react	           1	         -99	           0	          10	           6	          -1	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.7771	    -78.7583	    -21.1482	    -24.6689	
