         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
          14	       react	           1	         -99	           0	           1	           6	          -1	  1.0000e-12	  9.9730e-13	  2.9919e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.0729	    -89.9291	    -25.7275	    -27.9647	
          14	       react	           1	         -99	           0	           2	           6	          -1	  1.0000e-12	  1.9946e-12	  5.9838e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.4709	    -87.8219	    -24.8244	    -27.3626	
          14	       react	           1	         -99	           0	           3	           6	          -1	  1.0000e-12	  2.9919e-12	  8.9757e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.1187	    -86.5893	    -24.2961	    -27.0105	
          14	       react	           1	         -99	           0	           4	           6	          -1	  1.0000e-12	  3.9892e-12	  1.1968e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.8688	    -85.7147	    -23.9213	    -26.7606	
          14	       react	           1	         -99	           0	           5	           6	          -1	  1.0000e-12	  4.9865e-12	  1.4960e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.6750	    -85.0364	    -23.6306	    -26.5668	
          14	       react	           1	         -99	           0	           6	           6	          -1	  1.0000e-12	  5.9838e-12	  1.7951e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.5166	    -84.4821	    -23.3930	    -26.4084	
          14	       react	           1	         -99	           0	           7	           6	          -1	  1.0000e-12	  6.9811e-12	  2.0943e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.3827	    -84.0135	    -23.1922	    -26.2745	
          14	       react	           1	         -99	           0	           8	           6	          -1	  1.0000e-12	  7.9784e-12	  2.3935e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.2668	    -83.6075	    -23.0182	    -26.1585	
          14	       react	           1	         -99	           0	           9	           6	          -1	  1.0000e-12	  8.9757e-12	  2.6927e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.1645	    -83.2494	    -22.8647	    -26.0562	
          14	       react	           1	         -99	           0	          10	           6	          -1	  1.0000e-12	  9.9730e-12	  2.9919e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.0729	    -82.9291	    -22.7275	    -25.9647	
          14	       react	           1	         -99	           0	          11	           6	          -1	  1.0000e-11	  1.9946e-11	  5.9838e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.4709	    -80.8219	    -21.8244	    -25.3626	
          14	       react	           1	         -99	           0	          12	           6	          -1	  1.0000e-11	  2.9919e-11	  8.9757e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.1187	    -79.5893	    -21.2961	    -25.0105	
          14	       react	           1	         -99	           0	          13	           6	          -1	  1.0000e-11	  3.9892e-11	  1.1968e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.8688	    -78.7147	    -20.9213	    -24.7606	
          14	       react	           1	         -99	           0	          14	           6	          -1	  1.0000e-11	  4.9865e-11	  1.4960e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.6750	    -78.0364	    -20.6306	    -24.5668	
          14	       react	           1	         -99	           0	          15	           6	          -1	  1.0000e-11	  5.9838e-11	  1.7951e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.5166	    -77.4821	    -20.3930	    -24.4084	
          14	       react	           1	         -99	           0	          16	           6	          -1	  1.0000e-11	  6.9811e-11	  2.0943e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.3827	    -77.0135	    -20.1922	    -24.2745	
          14	       react	           1	         -99	           0	          17	           6	          -1	  1.0000e-11	  7.9784e-11	  2.3935e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.2668	    -76.6075	    -20.0182	    -24.1585	
          14	       react	           1	         -99	           0	          18	           6	          -1	  1.0000e-11	  8.9757e-11	  2.6927e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.1645	    -76.2494	    -19.8647	    -24.0562	
          14	       react	           1	         -99	           0	          19	           6	          -1	  1.0000e-11	  9.9730e-11	  2.9919e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.0729	    -75.9291	    -19.7275	    -23.9647	
          14	       react	           1	         -99	           0	          20	           6	          -1	  1.0000e-11	  1.0970e-10	  3.2911e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.9902	    -75.6394	    -19.6033	    -23.8819	
          14	       react	           1	         -99	           0	          21	           6	          -1	  1.0000e-10	  2.0943e-10	  6.2830e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.4285	    -73.6736	    -18.7608	    -23.3203	
