         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
          16	       react	           1	         -99	           0	           1	     13.5091	          -1	  1.0000e-12	  1.0045e-12	  3.0136e-12	   -107.2569	   -384.6782	   -164.1085	   -106.1487	
          16	       react	           1	         -99	           0	           2	           8	          -1	  1.0000e-12	  1.9910e-12	  5.9731e-12	    -44.6673	   -152.5368	    -57.1464	    -43.5591	
          16	       react	           1	         -99	           0	           3	           8	          -1	  1.0000e-12	  2.9865e-12	  8.9596e-12	    -44.3151	   -151.3042	    -56.6181	    -43.2069	
          16	       react	           1	         -99	           0	           4	           8	          -1	  1.0000e-12	  3.9821e-12	  1.1946e-11	    -44.0652	   -150.4296	    -56.2433	    -42.9570	
          16	       react	           1	         -99	           0	           5	           8	          -1	  1.0000e-12	  4.9776e-12	  1.4933e-11	    -43.8714	   -149.7513	    -55.9526	    -42.7632	
          16	       react	           1	         -99	           0	           6	           8	          -1	  1.0000e-12	  5.9731e-12	  1.7919e-11	    -43.7131	   -149.1970	    -55.7151	    -42.6048	
          16	       react	           1	         -99	           0	           7	           8	          -1	  1.0000e-12	  6.9686e-12	  2.0906e-11	    -43.5792	   -148.7284	    -55.5142	    -42.4709	
          16	       react	           1	         -99	           0	           8	           8	          -1	  1.0000e-12	  7.9641e-12	  2.3892e-11	    -43.4632	   -148.3224	    -55.3402	    -42.3550	
          16	       react	           1	         -99	           0	           9	           8	          -1	  1.0000e-12	  8.9596e-12	  2.6879e-11	    -43.3609	   -147.9643	    -55.1868	    -42.2527	
          16	       react	           1	         -99	           0	          10	           8	          -1	  1.0000e-12	  9.9552e-12	  2.9865e-11	    -43.2694	   -147.6440	    -55.0495	    -42.1611	
          16	       react	           1	         -99	           0	          11	           8	          -1	  1.0000e-11	  1.9910e-11	  5.9731e-11	    -42.6673	   -145.5368	    -54.1464	    -41.5591	
          16	       react	           1	         -99	           0	          12	           8	          -1	  1.0000e-11	  2.9865e-11	  8.9596e-11	    -42.3151	   -144.3042	    -53.6181	    -41.2069	
          16	       react	           1	         -99	           0	          13	           8	          -1	  1.0000e-11	  3.9821e-11	  1.1946e-10	    -42.0652	   -143.4296	    -53.2433	    -40.9570	
          16	       react	           1	         -99	           0	          14	           8	          -1	  1.0000e-11	  4.9776e-11	  1.4933e-10	    -41.8714	   -142.7513	    -52.9526	    -40.7632	
          16	       react	           1	         -99	           0	          15	           8	          -1	  1.0000e-11	  5.9731e-11	  1.7919e-10	    -41.7131	   -142.1970	    -52.7151	    -40.6048	
          16	       react	           1	         -99	           0	          16	           8	          -1	  1.0000e-11	  6.9686e-11	  2.0906e-10	    -41.5792	   -141.7284	    -52.5142	    -40.4709	
          16	       react	           1	         -99	           0	          17	           8	          -1	  1.0000e-11	  7.9641e-11	  2.3892e-10	    -41.4632	   -141.3224	    -52.3402	    -40.3550	
          16	       react	           1	         -99	           0	          18	           8	          -1	  1.0000e-11	  8.9596e-11	  2.6879e-10	    -41.3609	   -140.9643	    -52.1868	    -40.2527	
          16	       react	           1	         -99	           0	          19	           8	          -1	  1.0000e-11	  9.9552e-11	  2.9865e-10	    -41.2694	   -140.6440	    -52.0495	    -40.1611	
          16	       react	           1	         -99	           0	          20	           8	          -1	  1.0000e-11	  1.0951e-10	  3.2852e-10	    -41.1866	   -140.3543	    -51.9253	    -40.0784	
          16	       react	           1	         -99	           0	          21	           8	          -1	  1.0000e-10	  2.0906e-10	  6.2718e-10	    -40.6249	   -138.3885	    -51.0828	    -39.5167	
          16	       react	           1	         -99	           0	          22	           8	          -1	  1.0000e-10	  3.0861e-10	  9.2583e-10	    -40.2866	   -137.2045	    -50.5754	    -39.1784	
          16	       react	           1	         -99	           0	          23	           8	          -1	  1.0000e-10	  4.0816e-10	  1.2245e-09	    -40.0438	   -136.3546	    -50.2112	    -38.9356	
          16	       react	           1	         -99	           0	          24	           8	          -1	  1.0000e-10	  5.0771e-10	  1.5231e-09	    -39.8542	   -135.6910	    -49.9268	    -38.7460	
          16	       react	           1	         -99	           0	          25	           8	          -1	  1.0000e-10	  6.0726e-10	  1.8218e-09	    -39.6987	   -135.1467	    -49.6935	    -38.5905	
          16	       react	           1	         -99	           0	          26	           8	          -1	  1.0000e-10	  7.0682e-10	  2.1204e-09	    -39.5669	   -134.6852	    -49.4957	    -38.4586	
          16	       react	           1	         -99	           0	          27	           8	          -1	  1.0000e-10	  8.0637e-10	  2.4191e-09	    -39.4524	   -134.2846	    -49.3241	    -38.3442	
          16	       react	           1	         -99	           0	          28	           8	          -1	  1.0000e-10	  9.0592e-10	  2.7178e-09	    -39.3513	   -133.9308	    -49.1724	    -38.2431	
          16	       react	           1	         -99	           0	          29	           8	          -1	  1.0000e-10	  1.0055e-09	  3.0164e-09	    -39.2607	   -133.6138	    -49.0365	    -38.1525	
          16	       react	           1	         -99	           0	          30	           8	          -1	  1.0000e-10	  1.1050e-09	  3.3151e-09	    -39.1787	   -133.3268	    -48.9135	    -38.0705	
          16	       react	           1	         -99	           0	          31	           8	          -1	  1.0000e-09	  2.1005e-09	  6.3016e-09	    -38.6208	   -131.3741	    -48.0767	    -37.5126	
          16	       react	           1	         -99	           0	          32	           8	          -1	  1.0000e-09	  3.0961e-09	  9.2882e-09	    -38.2838	   -130.1947	    -47.5712	    -37.1756	
          16	       react	           1	         -99	           0	          33	           8	          -1	  1.0000e-09	  4.0916e-09	  1.2275e-08	    -38.0417	   -129.3471	    -47.2080	    -36.9335	
          16	       react	           1	         -99	           0	          34	           8	          -1	  1.0000e-09	  5.0871e-09	  1.5261e-08	    -37.8525	   -128.6851	    -46.9242	    -36.7443	
          16	       react	           1	         -99	           0	          35	           8	          -1	  1.0000e-09	  6.0826e-09	  1.8248e-08	    -37.6973	   -128.1418	    -46.6914	    -36.5891	
          16	       react	           1	         -99	           0	          36	           8	          -1	  1.0000e-09	  7.0781e-09	  2.1234e-08	    -37.5656	   -127.6810	    -46.4939	    -36.4574	
          16	       react	           1	         -99	           0	          37	           8	          -1	  1.0000e-09	  8.0736e-09	  2.4221e-08	    -37.4513	   -127.2809	    -46.3224	    -36.3431	
          16	       react	           1	         -99	           0	          38	           8	          -1	  1.0000e-09	  9.0692e-09	  2.7207e-08	    -37.3503	   -126.9274	    -46.1710	    -36.2421	
          16	       react	           1	         -99	           0	          39	           8	          -1	  1.0000e-09	  1.0065e-08	  3.0194e-08	    -37.2599	   -126.6108	    -46.0353	    -36.1516	
          16	       react	           1	         -99	           0	          40	           8	          -1	  1.0000e-09	  1.1060e-08	  3.3181e-08	    -37.1779	   -126.3240	    -45.9124	    -36.0697	
          16	       react	           1	         -99	           0	          41	           8	          -1	  1.0000e-08	  2.1015e-08	  6.3046e-08	    -36.6204	   -124.3726	    -45.0760	    -35.5122	
          16	       react	           1	         -99	           0	          42	           8	          -1	  1.0000e-08	  3.0971e-08	  9.2912e-08	    -36.2836	   -123.1937	    -44.5708	    -35.1753	
          16	       react	           1	         -99	           0	          43	           8	          -1	  1.0000e-08	  4.0926e-08	  1.2278e-07	    -36.0415	   -122.3464	    -44.2077	    -34.9332	
          16	       react	           1	         -99	           0	          44	           8	          -1	  1.0000e-08	  5.0881e-08	  1.5264e-07	    -35.8524	   -121.6845	    -43.9240	    -34.7441	
          16	       react	           1	         -99	           0	          45	           8	          -1	  1.0000e-08	  6.0836e-08	  1.8251e-07	    -35.6971	   -121.1413	    -43.6912	    -34.5889	
          16	       react	           1	         -99	           0	          46	           8	          -1	  1.0000e-08	  7.0791e-08	  2.1237e-07	    -35.5655	   -120.6805	    -43.4937	    -34.4573	
          16	       react	           1	         -99	           0	          47	           8	          -1	  1.0000e-08	  8.0746e-08	  2.4224e-07	    -35.4512	   -120.2805	    -43.3223	    -34.3430	
          16	       react	           1	         -99	           0	          48	           8	          -1	  1.0000e-08	  9.0701e-08	  2.7210e-07	    -35.3502	   -119.9271	    -43.1708	    -34.2420	
          16	       react	           1	         -99	           0	          49	           8	          -1	  1.0000e-08	  1.0066e-07	  3.0197e-07	    -35.2598	   -119.6105	    -43.0351	    -34.1516	
          16	       react	           1	         -99	           0	          50	           8	          -1	  1.0000e-08	  1.1061e-07	  3.3184e-07	    -35.1779	   -119.3238	    -42.9122	    -34.0696	
          16	       react	           1	         -99	           0	          51	           8	          -1	  1.0000e-07	  2.1016e-07	  6.3049e-07	    -34.6204	   -117.3725	    -42.0760	    -33.5121	
          16	       react	           1	         -99	           0	          52	           8	          -1	  1.0000e-07	  3.0972e-07	  9.2915e-07	    -34.2835	   -116.1937	    -41.5708	    -33.1753	
          16	       react	           1	         -99	           0	          53	           8	          -1	  1.0000e-07	  4.0927e-07	  1.2278e-06	    -34.0415	   -115.3463	    -41.2076	    -32.9332	
          16	       react	           1	         -99	           0	          54	           8	          -1	  1.0000e-07	  5.0882e-07	  1.5265e-06	    -33.8523	   -114.6845	    -40.9240	    -32.7441	
          16	       react	           1	         -99	           0	          55	           8	          -1	  1.0000e-07	  6.0837e-07	  1.8251e-06	    -33.6971	   -114.1412	    -40.6912	    -32.5889	
          16	       react	           1	         -99	           0	          56	           8	          -1	  1.0000e-07	  7.0792e-07	  2.1238e-06	    -33.5655	   -113.6805	    -40.4937	    -32.4573	
          16	       react	           1	         -99	           0	          57	           8	          -1	  1.0000e-07	  8.0747e-07	  2.4224e-06	    -33.4512	   -113.2805	    -40.3223	    -32.3430	
          16	       react	           1	         -99	           0	          58	           8	          -1	  1.0000e-07	  9.0702e-07	  2.7211e-06	    -33.3502	   -112.9271	    -40.1708	    -32.2420	
          16	       react	           1	         -99	           0	          59	           8	          -1	  1.0000e-07	  1.0066e-06	  3.0197e-06	    -33.2598	   -112.6105	    -40.0351	    -32.1516	
          16	       react	           1	         -99	           0	          60	           8	          -1	  1.0000e-07	  1.1061e-06	  3.3184e-06	    -33.1779	   -112.3238	    -39.9122	    -32.0696	
          16	       react	           1	         -99	           0	          61	           8	          -1	  1.0000e-06	  2.1016e-06	  6.3049e-06	    -32.6204	   -110.3725	    -39.0760	    -31.5121	
          16	       react	           1	         -99	           0	          62	           8	          -1	  1.0000e-06	  3.0972e-06	  9.2915e-06	    -32.2836	   -109.1937	    -38.5708	    -31.1753	
          16	       react	           1	         -99	           0	          63	           8	          -1	  1.0000e-06	  4.0927e-06	  1.2278e-05	    -32.0415	   -108.3465	    -38.2077	    -30.9333	
          16	       react	           1	         -99	           0	          64	           8	          -1	  1.0000e-06	  5.0882e-06	  1.5265e-05	    -31.8524	   -107.6846	    -37.9240	    -30.7442	
          16	       react	           1	         -99	           0	          65	           8	          -1	  1.0000e-06	  6.0837e-06	  1.8251e-05	    -31.6972	   -107.1414	    -37.6912	    -30.5890	
          16	       react	           1	         -99	           0	          66	           8	          -1	  1.0000e-06	  7.0792e-06	  2.1238e-05	    -31.5656	   -106.6807	    -37.4938	    -30.4573	
          16	       react	           1	         -99	           0	          67	           8	          -1	  1.0000e-06	  8.0747e-06	  2.4224e-05	    -31.4513	   -106.2808	    -37.3224	    -30.3431	
          16	       react	           1	         -99	           0	          68	           8	          -1	  1.0000e-06	  9.0703e-06	  2.7211e-05	    -31.3503	   -105.9273	    -37.1709	    -30.2421	
          16	       react	           1	         -99	           0	          69	           8	          -1	  1.0000e-06	  1.0066e-05	  3.0197e-05	    -31.2599	   -105.6108	    -37.0352	    -30.1516	
          16	       react	           1	         -99	           0	          70	           8	          -1	  1.0000e-06	  1.1061e-05	  3.3184e-05	    -31.1780	   -105.3241	    -36.9124	    -30.0697	
          16	       react	           1	         -99	           0	          71	           8	          -1	  1.0000e-05	  2.1016e-05	  6.3049e-05	    -30.6206	   -103.3732	    -36.0763	    -29.5123	
          16	       react	           1	         -99	           0	          72	           8	          -1	  1.0000e-05	  3.0972e-05	  9.2915e-05	    -30.2839	   -102.1947	    -35.5712	    -29.1756	
          16	       react	           1	         -99	           0	          73	           8	          -1	  1.0000e-05	  4.0927e-05	  1.2278e-04	    -30.0419	   -101.3477	    -35.2082	    -28.9336	
          16	       react	           1	         -99	           0	          74	           8	          -1	  1.0000e-05	  5.0882e-05	  1.5265e-04	    -29.8529	   -100.6861	    -34.9246	    -28.7446	
          16	       react	           1	         -99	           0	          75	           8	          -1	  1.0000e-05	  6.0837e-05	  1.8251e-04	    -29.6978	   -100.1433	    -34.6920	    -28.5895	
          16	       react	           1	         -99	           0	          76	           8	          -1	  1.0000e-05	  7.0792e-05	  2.1238e-04	    -29.5662	    -99.6829	    -34.4946	    -28.4580	
          16	       react	           1	         -99	           0	          77	           8	          -1	  1.0000e-05	  8.0748e-05	  2.4224e-04	    -29.4520	    -99.2832	    -34.3233	    -28.3438	
          16	       react	           1	         -99	           0	          78	           8	          -1	  1.0000e-05	  9.0703e-05	  2.7211e-04	    -29.3512	    -98.9301	    -34.1720	    -28.2429	
          16	       react	           1	         -99	           0	          79	           8	          -1	  1.0000e-05	  1.0066e-04	  3.0197e-04	    -29.2608	    -98.6138	    -34.0364	    -28.1526	
          16	       react	           1	         -99	           0	          80	           8	          -1	  1.0000e-05	  1.1061e-04	  3.3184e-04	    -29.1790	    -98.3275	    -33.9137	    -28.0708	
          16	       react	           1	         -99	           0	          81	           8	          -1	  1.0000e-04	  2.1017e-04	  6.3050e-04	    -28.6225	    -96.3795	    -33.0788	    -27.5143	
          16	       react	           1	         -99	           0	          82	           8	          -1	  1.0000e-04	  3.0972e-04	  9.2916e-04	    -28.2867	    -95.2040	    -32.5749	    -27.1785	
          16	       react	           1	         -99	           0	          83	           8	          -1	  1.0000e-04	  4.0927e-04	  1.2278e-03	    -28.0456	    -94.3600	    -32.2130	    -26.9374	
          16	       react	           1	         -99	           0	          84	           8	          -1	  1.0000e-04	  5.0883e-04	  1.5265e-03	    -27.8575	    -93.7015	    -31.9307	    -26.7493	
          16	       react	           1	         -99	           0	          85	           8	          -1	  1.0000e-04	  6.0838e-04	  1.8252e-03	    -27.7033	    -93.1615	    -31.6992	    -26.5950	
          16	       react	           1	         -99	           0	          86	           8	          -1	  1.0000e-04	  7.0794e-04	  2.1238e-03	    -27.5726	    -92.7041	    -31.5030	    -26.4644	
          16	       react	           1	         -99	           0	          87	           8	          -1	  1.0000e-04	  8.0750e-04	  2.4225e-03	    -27.4593	    -92.3074	    -31.3329	    -26.3511	
          16	       react	           1	         -99	           0	          88	           8	          -1	  1.0000e-04	  9.0706e-04	  2.7212e-03	    -27.3593	    -91.9572	    -31.1827	    -26.2511	
          16	       react	           1	         -99	           0	          89	           8	          -1	  1.0000e-04	  1.0066e-03	  3.0198e-03	    -27.2699	    -91.6438	    -31.0483	    -26.1616	
          16	       react	           1	         -99	           0	          90	           8	          -1	  1.0000e-04	  1.1062e-03	  3.3185e-03	    -27.1889	    -91.3604	    -30.9267	    -26.0807	
          16	       react	           1	         -99	           0	          91	           8	          -1	  1.0000e-03	  2.1018e-03	  6.3054e-03	    -26.6411	    -89.4409	    -30.1030	    -25.5328	
          16	       react	           1	         -99	           0	          92	           8	          -1	  1.0000e-03	  3.0975e-03	  9.2925e-03	    -26.3136	    -88.2929	    -29.6099	    -25.2054	
          16	       react	           1	         -99	           0	          93	           8	          -1	  1.0000e-03	  4.0933e-03	  1.2280e-02	    -26.0805	    -87.4754	    -29.2585	    -24.9723	
          16	       react	           1	         -99	           0	          94	           8	          -1	  1.0000e-03	  5.0891e-03	  1.5267e-02	    -25.9002	    -86.8425	    -28.9863	    -24.7920	
          16	       react	           1	         -99	           0	          95	           8	          -1	  1.0000e-03	  6.0851e-03	  1.8255e-02	    -25.7535	    -86.3274	    -28.7646	    -24.6453	
          16	       react	           1	         -99	           0	          96	           8	          -1	  1.0000e-03	  7.0810e-03	  2.1243e-02	    -25.6302	    -85.8941	    -28.5779	    -24.5220	
          16	       react	           1	         -99	           0	          97	           8	          -1	  1.0000e-03	  8.0771e-03	  2.4231e-02	    -25.5240	    -85.5207	    -28.4170	    -24.4157	
          16	       react	           1	         -99	           0	          98	           8	          -1	  1.0000e-03	  9.0732e-03	  2.7220e-02	    -25.4309	    -85.1933	    -28.2757	    -24.3226	
          16	       react	           1	         -99	           0	          99	           8	          -1	  1.0000e-03	  1.0069e-02	  3.0208e-02	    -25.3481	    -84.9020	    -28.1500	    -24.2399	
          16	       react	           1	         -99	           0	         100	           8	          -1	  1.0000e-03	  1.1066e-02	  3.3197e-02	    -25.2736	    -84.6399	    -28.0369	    -24.1654	
          16	       react	           1	         -99	           0	         101	           8	          -1	  1.0000e-02	  2.1032e-02	  6.3097e-02	    -24.7826	    -82.9077	    -27.2867	    -23.6743	
          16	       react	           1	         -99	           0	         102	           8	          -1	  1.0000e-02	  3.1006e-02	  9.3019e-02	    -24.5008	    -81.9101	    -26.8528	    -23.3925	
          16	       react	           1	         -99	           0	         103	           8	          -1	  1.0000e-02	  4.0987e-02	  1.2296e-01	    -24.3058	    -81.2181	    -26.5507	    -23.1976	
          16	       react	           1	         -99	           0	         104	           8	          -1	  1.0000e-02	  5.0976e-02	  1.5293e-01	    -24.1580	    -80.6924	    -26.3205	    -23.0498	
          16	       react	           1	         -99	           0	         105	           8	          -1	  1.0000e-02	  6.0971e-02	  1.8291e-01	    -24.0396	    -80.2706	    -26.1355	    -22.9314	
