         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           8	       react	           1	         -99	           0	           1	     13.2779	           1	  1.0000e-12	  1.0025e-12	  3.0075e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -122.3332	   -439.9120	   -189.1897	   -121.2250	
           8	       react	           1	         -99	           0	           2	           8	           1	  1.0000e-12	  1.9910e-12	  5.9731e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -60.6755	   -212.5614	    -85.1546	    -59.5673	
           8	       react	           1	         -99	           0	           3	           8	           1	  1.0000e-12	  2.9865e-12	  8.9596e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -60.3233	   -211.3288	    -84.6263	    -59.2151	
           8	       react	           1	         -99	           0	           4	           8	           1	  1.0000e-12	  3.9821e-12	  1.1946e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -60.0735	   -210.4542	    -84.2515	    -58.9652	
           8	       react	           1	         -99	           0	           5	           8	           1	  1.0000e-12	  4.9776e-12	  1.4933e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -59.8796	   -209.7759	    -83.9608	    -58.7714	
           8	       react	           1	         -99	           0	           6	           8	           1	  1.0000e-12	  5.9731e-12	  1.7919e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -59.7213	   -209.2216	    -83.7233	    -58.6130	
           8	       react	           1	         -99	           0	           7	           8	           1	  1.0000e-12	  6.9686e-12	  2.0906e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -59.5874	   -208.7530	    -83.5224	    -58.4791	
           8	       react	           1	         -99	           0	           8	           8	           1	  1.0000e-12	  7.9641e-12	  2.3892e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -59.4714	   -208.3470	    -83.3484	    -58.3632	
           8	       react	           1	         -99	           0	           9	           8	           1	  1.0000e-12	  8.9596e-12	  2.6879e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -59.3691	   -207.9890	    -83.1950	    -58.2609	
           8	       react	           1	         -99	           0	          10	           8	           1	  1.0000e-12	  9.9552e-12	  2.9865e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -59.2776	   -207.6687	    -83.0577	    -58.1693	
           8	       react	           1	         -99	           0	          11	           8	           1	  1.0000e-11	  1.9910e-11	  5.9731e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -58.6755	   -205.5614	    -82.1546	    -57.5673	
           8	       react	           1	         -99	           0	          12	           8	           1	  1.0000e-11	  2.9865e-11	  8.9596e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -58.3233	   -204.3288	    -81.6263	    -57.2151	
           8	       react	           1	         -99	           0	          13	           8	           1	  1.0000e-11	  3.9821e-11	  1.1946e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -58.0735	   -203.4542	    -81.2515	    -56.9652	
           8	       react	           1	         -99	           0	          14	           8	           1	  1.0000e-11	  4.9776e-11	  1.4933e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -57.8796	   -202.7759	    -80.9608	    -56.7714	
           8	       react	           1	         -99	           0	          15	           8	           1	  1.0000e-11	  5.9731e-11	  1.7919e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -57.7213	   -202.2216	    -80.7233	    -56.6130	
           8	       react	           1	         -99	           0	          16	           8	           1	  1.0000e-11	  6.9686e-11	  2.0906e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -57.5874	   -201.7530	    -80.5224	    -56.4791	
           8	       react	           1	         -99	           0	          17	           8	           1	  1.0000e-11	  7.9641e-11	  2.3892e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -57.4714	   -201.3470	    -80.3484	    -56.3632	
           8	       react	           1	         -99	           0	          18	           8	           1	  1.0000e-11	  8.9596e-11	  2.6879e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -57.3691	   -200.9890	    -80.1950	    -56.2609	
           8	       react	           1	         -99	           0	          19	           8	           1	  1.0000e-11	  9.9552e-11	  2.9865e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -57.2776	   -200.6687	    -80.0577	    -56.1693	
           8	       react	           1	         -99	           0	          20	           8	           1	  1.0000e-11	  1.0951e-10	  3.2852e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -57.1948	   -200.3789	    -79.9335	    -56.0866	
           8	       react	           1	         -99	           0	          21	           8	           1	  1.0000e-10	  2.0906e-10	  6.2718e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.6331	   -198.4131	    -79.0911	    -55.5249	
           8	       react	           1	         -99	           0	          22	           8	           1	  1.0000e-10	  3.0861e-10	  9.2583e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.2949	   -197.2291	    -78.5836	    -55.1866	
           8	       react	           1	         -99	           0	          23	           8	           1	  1.0000e-10	  4.0816e-10	  1.2245e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -56.0520	   -196.3792	    -78.2194	    -54.9438	
           8	       react	           1	         -99	           0	          24	           8	           1	  1.0000e-10	  5.0771e-10	  1.5231e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -55.8624	   -195.7157	    -77.9350	    -54.7542	
           8	       react	           1	         -99	           0	          25	           8	           1	  1.0000e-10	  6.0726e-10	  1.8218e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -55.7069	   -195.1713	    -77.7017	    -54.5987	
           8	       react	           1	         -99	           0	          26	           8	           1	  1.0000e-10	  7.0682e-10	  2.1204e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -55.5751	   -194.7098	    -77.5039	    -54.4668	
