         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     10.2086	       -9.29	  1.0000e-12	  2.2493e-12	  7.4978e-13	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.9632	    -55.4709	    -21.4880	    -12.9235	
           4	       react	           1	         -99	           0	           2	          10	       -9.29	  1.0000e-12	  4.4987e-12	  1.4996e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.1662	    -52.7852	    -20.3964	    -12.1265	
           4	       react	           1	         -99	           0	           3	          10	       -9.29	  1.0000e-12	  6.7480e-12	  2.2493e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.8140	    -51.5525	    -19.8681	    -11.7743	
           4	       react	           1	         -99	           0	           4	          10	       -9.29	  1.0000e-12	  8.9973e-12	  2.9991e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.5642	    -50.6780	    -19.4933	    -11.5245	
           4	       react	           1	         -99	           0	           5	          10	       -9.29	  1.0000e-12	  1.1247e-11	  3.7489e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.3703	    -49.9996	    -19.2026	    -11.3306	
           4	       react	           1	         -99	           0	           6	          10	       -9.29	  1.0000e-12	  1.3496e-11	  4.4987e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.2120	    -49.4453	    -18.9650	    -11.1723	
           4	       react	           1	         -99	           0	           7	          10	       -9.29	  1.0000e-12	  1.5745e-11	  5.2484e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0781	    -48.9767	    -18.7642	    -11.0384	
           4	       react	           1	         -99	           0	           8	          10	       -9.29	  1.0000e-12	  1.7995e-11	  5.9982e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.9621	    -48.5707	    -18.5902	    -10.9224	
           4	       react	           1	         -99	           0	           9	          10	       -9.29	  1.0000e-12	  2.0244e-11	  6.7480e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.8598	    -48.2127	    -18.4367	    -10.8201	
           4	       react	           1	         -99	           0	          10	          10	       -9.29	  1.0000e-12	  2.2493e-11	  7.4978e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.7683	    -47.8924	    -18.2995	    -10.7286	
           4	       react	           1	         -99	           0	          11	          10	       -9.29	  1.0000e-11	  4.4987e-11	  1.4996e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1662	    -45.7852	    -17.3964	    -10.1265	
           4	       react	           1	         -99	           0	          12	          10	       -9.29	  1.0000e-11	  6.7480e-11	  2.2493e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.8140	    -44.5525	    -16.8681	     -9.7743	
           4	       react	           1	         -99	           0	          13	          10	       -9.29	  1.0000e-11	  8.9973e-11	  2.9991e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.5642	    -43.6780	    -16.4933	     -9.5245	
           4	       react	           1	         -99	           0	          14	          10	       -9.29	  1.0000e-11	  1.1247e-10	  3.7489e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.3703	    -42.9996	    -16.2026	     -9.3306	
           4	       react	           1	         -99	           0	          15	          10	       -9.29	  1.0000e-11	  1.3496e-10	  4.4987e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.2120	    -42.4453	    -15.9650	     -9.1723	
           4	       react	           1	         -99	           0	          16	          10	       -9.29	  1.0000e-11	  1.5745e-10	  5.2484e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.0781	    -41.9767	    -15.7642	     -9.0384	
