         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     10.2086	       -9.29	  1.0000e-12	  2.2493e-12	  7.4978e-13	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -33.1980	    -88.3677	    -16.4506	    -32.0895	
           4	       react	           1	         -99	           0	           2	          10	       -9.29	  1.0000e-12	  4.4987e-12	  1.4996e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.6456	    -86.6603	    -15.8481	    -31.5370	
           4	       react	           1	         -99	           0	           3	          10	       -9.29	  1.0000e-12	  6.7480e-12	  2.2493e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.4401	    -86.0146	    -15.6133	    -31.3316	
           4	       react	           1	         -99	           0	           4	          10	       -9.29	  1.0000e-12	  8.9973e-12	  2.9991e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.2944	    -85.5565	    -15.4467	    -31.1858	
           4	       react	           1	         -99	           0	           5	          10	       -9.29	  1.0000e-12	  1.1247e-11	  3.7489e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.1813	    -85.2011	    -15.3175	    -31.0728	
           4	       react	           1	         -99	           0	           6	          10	       -9.29	  1.0000e-12	  1.3496e-11	  4.4987e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.0889	    -84.9108	    -15.2119	    -30.9804	
           4	       react	           1	         -99	           0	           7	          10	       -9.29	  1.0000e-12	  1.5745e-11	  5.2484e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.0108	    -84.6653	    -15.1227	    -30.9023	
           4	       react	           1	         -99	           0	           8	          10	       -9.29	  1.0000e-12	  1.7995e-11	  5.9982e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.9432	    -84.4527	    -15.0453	    -30.8346	
           4	       react	           1	         -99	           0	           9	          10	       -9.29	  1.0000e-12	  2.0244e-11	  6.7480e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.8835	    -84.2651	    -14.9771	    -30.7750	
           4	       react	           1	         -99	           0	          10	          10	       -9.29	  1.0000e-12	  2.2493e-11	  7.4978e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.8301	    -84.0974	    -14.9161	    -30.7216	
           4	       react	           1	         -99	           0	          11	          10	       -9.29	  1.0000e-11	  4.4987e-11	  1.4996e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.4789	    -82.9936	    -14.5147	    -30.3704	
