         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           3	       react	           1	         -99	           0	           1	           7	       -3.38	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.6927	    -55.5568	    -16.1158	    -15.6510	
           3	       react	           1	         -99	           0	           2	           7	       -3.38	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.0906	    -53.4496	    -15.2127	    -15.0489	
           3	       react	           1	         -99	           0	           3	           7	       -3.38	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.7384	    -52.2169	    -14.6844	    -14.6967	
           3	       react	           1	         -99	           0	           4	           7	       -3.38	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.4885	    -51.3424	    -14.3096	    -14.4468	
           3	       react	           1	         -99	           0	           5	           7	       -3.38	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.2947	    -50.6640	    -14.0189	    -14.2530	
           3	       react	           1	         -99	           0	           6	           7	       -3.38	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.1364	    -50.1097	    -13.7813	    -14.0947	
           3	       react	           1	         -99	           0	           7	           7	       -3.38	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.0025	    -49.6411	    -13.5805	    -13.9608	
           3	       react	           1	         -99	           0	           8	           7	       -3.38	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.8865	    -49.2351	    -13.4065	    -13.8448	
           3	       react	           1	         -99	           0	           9	           7	       -3.38	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.7842	    -48.8771	    -13.2530	    -13.7425	
           3	       react	           1	         -99	           0	          10	           7	       -3.38	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.6927	    -48.5568	    -13.1158	    -13.6510	
           3	       react	           1	         -99	           0	          11	           7	       -3.38	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.0906	    -46.4496	    -12.2127	    -13.0489	
           3	       react	           1	         -99	           0	          12	           7	       -3.38	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.7384	    -45.2169	    -11.6844	    -12.6967	
           3	       react	           1	         -99	           0	          13	           7	       -3.38	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.4886	    -44.3424	    -11.3096	    -12.4469	
           3	       react	           1	         -99	           0	          14	           7	       -3.38	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.2947	    -43.6640	    -11.0189	    -12.2530	
           3	       react	           1	         -99	           0	          15	           7	       -3.38	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.1364	    -43.1097	    -10.7813	    -12.0947	
           3	       react	           1	         -99	           0	          16	           7	       -3.38	  1.0000e-11	  2.1000e-10	  7.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.0025	    -42.6411	    -10.5805	    -11.9608	
           3	       react	           1	         -99	           0	          17	           7	       -3.38	  1.0000e-11	  2.4000e-10	  8.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.8865	    -42.2352	    -10.4065	    -11.8448	
           3	       react	           1	         -99	           0	          18	           7	       -3.38	  1.0000e-11	  2.7000e-10	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.7842	    -41.8771	    -10.2531	    -11.7425	
           3	       react	           1	         -99	           0	          19	           7	       -3.38	  1.0000e-11	  3.0000e-10	  1.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6927	    -41.5568	    -10.1158	    -11.6510	
           3	       react	           1	         -99	           0	          20	           7	       -3.38	  1.0000e-11	  3.3000e-10	  1.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6099	    -41.2670	     -9.9916	    -11.5682	
           3	       react	           1	         -99	           0	          21	           7	       -3.38	  1.0000e-10	  6.3000e-10	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0482	    -39.3013	     -9.1491	    -11.0065	
           3	       react	           1	         -99	           0	          22	           7	       -3.38	  1.0000e-10	  9.3000e-10	  3.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.7100	    -38.1173	     -8.6417	    -10.6683	
           3	       react	           1	         -99	           0	          23	           7	       -3.38	  1.0000e-10	  1.2300e-09	  4.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.4671	    -37.2674	     -8.2775	    -10.4254	
           3	       react	           1	         -99	           0	          24	           7	       -3.38	  1.0000e-10	  1.5300e-09	  5.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.2776	    -36.6039	     -7.9931	    -10.2359	
           3	       react	           1	         -99	           0	          25	           7	       -3.38	  1.0000e-10	  1.8300e-09	  6.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1220	    -36.0596	     -7.7598	    -10.0803	
           3	       react	           1	         -99	           0	          26	           7	       -3.38	  1.0000e-10	  2.1300e-09	  7.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9902	    -35.5981	     -7.5621	     -9.9485	
           3	       react	           1	         -99	           0	          27	           7	       -3.38	  1.0000e-10	  2.4300e-09	  8.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.8757	    -35.1976	     -7.3904	     -9.8340	
           3	       react	           1	         -99	           0	          28	           7	       -3.38	  1.0000e-10	  2.7300e-09	  9.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.7746	    -34.8437	     -7.2387	     -9.7329	
           3	       react	           1	         -99	           0	          29	           7	       -3.38	  1.0000e-10	  3.0300e-09	  1.0100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.6841	    -34.5267	     -7.1029	     -9.6424	
           3	       react	           1	         -99	           0	          30	           7	       -3.38	  1.0000e-10	  3.3300e-09	  1.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.6021	    -34.2398	     -6.9799	     -9.5604	
           3	       react	           1	         -99	           0	          31	           7	       -3.38	  1.0000e-09	  6.3300e-09	  2.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.0442	    -32.2872	     -6.1431	     -9.0025	
           3	       react	           1	         -99	           0	          32	           7	       -3.38	  1.0000e-09	  9.3300e-09	  3.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.7073	    -31.1081	     -5.6378	     -8.6656	
           3	       react	           1	         -99	           0	          33	           7	       -3.38	  1.0000e-09	  1.2330e-08	  4.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.4652	    -30.2607	     -5.2746	     -8.4235	
           3	       react	           1	         -99	           0	          34	           7	       -3.38	  1.0000e-09	  1.5330e-08	  5.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.2761	    -29.5988	     -4.9909	     -8.2344	
           3	       react	           1	         -99	           0	          35	           7	       -3.38	  1.0000e-09	  1.8330e-08	  6.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.1209	    -29.0557	     -4.7582	     -8.0792	
           3	       react	           1	         -99	           0	          36	           7	       -3.38	  1.0000e-09	  2.1330e-08	  7.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.9893	    -28.5951	     -4.5608	     -7.9476	
           3	       react	           1	         -99	           0	          37	           7	       -3.38	  1.0000e-09	  2.4330e-08	  8.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.8751	    -28.1952	     -4.3894	     -7.8334	
           3	       react	           1	         -99	           0	          38	           7	       -3.38	  1.0000e-09	  2.7330e-08	  9.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.7741	    -27.8419	     -4.2379	     -7.7324	
           3	       react	           1	         -99	           0	          39	           7	       -3.38	  1.0000e-09	  3.0330e-08	  1.0110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.6837	    -27.5254	     -4.1023	     -7.6420	
