         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           5	       react	           1	         -99	           0	           1	     12.9553	       -4.56	  1.0000e-12	  1.0043e-12	  3.0130e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -68.1700	   -250.6248	   -108.2292	    -67.1283	
           5	       react	           1	         -99	           0	           2	           8	       -4.56	  1.0000e-12	  2.0043e-12	  6.0130e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.9269	    -54.1681	    -16.2587	    -14.8852	
           5	       react	           1	         -99	           0	           3	           8	       -4.56	  1.0000e-12	  3.0065e-12	  9.0195e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.5747	    -52.9355	    -15.7305	    -14.5330	
           5	       react	           1	         -99	           0	           4	           8	       -4.56	  1.0000e-12	  4.0087e-12	  1.2026e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.3248	    -52.0609	    -15.3557	    -14.2831	
           5	       react	           1	         -99	           0	           5	           8	       -4.56	  1.0000e-12	  5.0108e-12	  1.5033e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.1310	    -51.3826	    -15.0649	    -14.0893	
           5	       react	           1	         -99	           0	           6	           8	       -4.56	  1.0000e-12	  6.0130e-12	  1.8039e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.9726	    -50.8283	    -14.8274	    -13.9309	
           5	       react	           1	         -99	           0	           7	           8	       -4.56	  1.0000e-12	  7.0152e-12	  2.1046e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.8387	    -50.3597	    -14.6265	    -13.7970	
           5	       react	           1	         -99	           0	           8	           8	       -4.56	  1.0000e-12	  8.0173e-12	  2.4052e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.7227	    -49.9537	    -14.4526	    -13.6810	
           5	       react	           1	         -99	           0	           9	           8	       -4.56	  1.0000e-12	  9.0195e-12	  2.7059e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.6204	    -49.5956	    -14.2991	    -13.5787	
           5	       react	           1	         -99	           0	          10	           8	       -4.56	  1.0000e-12	  1.0022e-11	  3.0065e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.5289	    -49.2753	    -14.1618	    -13.4872	
           5	       react	           1	         -99	           0	          11	           8	       -4.56	  1.0000e-11	  2.0043e-11	  6.0130e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.9269	    -47.1681	    -13.2587	    -12.8852	
           5	       react	           1	         -99	           0	          12	           8	       -4.56	  1.0000e-11	  3.0065e-11	  9.0195e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.5747	    -45.9355	    -12.7305	    -12.5330	
           5	       react	           1	         -99	           0	          13	           8	       -4.56	  1.0000e-11	  4.0087e-11	  1.2026e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.3248	    -45.0609	    -12.3557	    -12.2831	
           5	       react	           1	         -99	           0	          14	           8	       -4.56	  1.0000e-11	  5.0108e-11	  1.5032e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.1310	    -44.3826	    -12.0649	    -12.0893	
           5	       react	           1	         -99	           0	          15	           8	       -4.56	  1.0000e-11	  6.0130e-11	  1.8039e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.9726	    -43.8283	    -11.8274	    -11.9309	
           5	       react	           1	         -99	           0	          16	           8	       -4.56	  1.0000e-11	  7.0152e-11	  2.1045e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.8387	    -43.3597	    -11.6265	    -11.7970	
           5	       react	           1	         -99	           0	          17	           8	       -4.56	  1.0000e-11	  8.0173e-11	  2.4052e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.7227	    -42.9537	    -11.4526	    -11.6810	
           5	       react	           1	         -99	           0	          18	           8	       -4.56	  1.0000e-11	  9.0195e-11	  2.7058e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6204	    -42.5956	    -11.2991	    -11.5787	
           5	       react	           1	         -99	           0	          19	           8	       -4.56	  1.0000e-11	  1.0022e-10	  3.0065e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.5289	    -42.2753	    -11.1618	    -11.4872	
           5	       react	           1	         -99	           0	          20	           8	       -4.56	  1.0000e-11	  1.1024e-10	  3.3071e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.4461	    -41.9856	    -11.0377	    -11.4044	
