         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	
           4	       react	           1	         -99	           0	           1	     6.99901	    -6.76001	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.6683	    -54.1526	    -17.1269	
           4	       react	           1	         -99	           0	           2	     6.99902	    -6.76002	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.0662	    -52.0453	    -16.2238	
           4	       react	           1	         -99	           0	           3	     6.99904	    -6.76004	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.7140	    -50.8127	    -15.6955	
           4	       react	           1	         -99	           0	           4	     6.99905	    -6.76005	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.4641	    -49.9380	    -15.3207	
           4	       react	           1	         -99	           0	           5	     6.99906	    -6.76006	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.2703	    -49.2596	    -15.0299	
           4	       react	           1	         -99	           0	           6	     6.99907	    -6.76007	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.1119	    -48.7053	    -14.7924	
           4	       react	           1	         -99	           0	           7	     6.99908	    -6.76008	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.9780	    -48.2366	    -14.5915	
           4	       react	           1	         -99	           0	           8	      6.9991	    -6.76009	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.8620	    -47.8306	    -14.4175	
           4	       react	           1	         -99	           0	           9	     6.99911	    -6.76011	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.7596	    -47.4725	    -14.2640	
           4	       react	           1	         -99	           0	          10	     6.99912	    -6.76012	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6681	    -47.1522	    -14.1268	
           4	       react	           1	         -99	           0	          11	     6.99924	    -6.76024	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0659	    -45.0445	    -13.2236	
           4	       react	           1	         -99	           0	          12	     6.99936	    -6.76035	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.7135	    -43.8114	    -12.6952	
           4	       react	           1	         -99	           0	          13	     6.99947	    -6.76047	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.4635	    -42.9364	    -12.3203	
           4	       react	           1	         -99	           0	          14	     6.99959	    -6.76059	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.2695	    -42.2576	    -12.0294	
           4	       react	           1	         -99	           0	          15	     6.99971	    -6.76071	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1110	    -41.7029	    -11.7918	
           4	       react	           1	         -99	           0	          16	     6.99983	    -6.76083	  1.0000e-11	  2.1000e-10	  7.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9769	    -41.2338	    -11.5908	
