         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	
           4	       react	           1	         -99	           0	           1	     6.99901	    -6.76001	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.1054	    -50.2806	    -17.1269	
           4	       react	           1	         -99	           0	           2	     6.99902	    -6.76002	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.5033	    -48.1733	    -16.2238	
           4	       react	           1	         -99	           0	           3	     6.99904	    -6.76004	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1511	    -46.9407	    -15.6955	
           4	       react	           1	         -99	           0	           4	     6.99905	    -6.76005	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9012	    -46.0660	    -15.3207	
           4	       react	           1	         -99	           0	           5	     6.99906	    -6.76006	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.7074	    -45.3876	    -15.0299	
           4	       react	           1	         -99	           0	           6	     6.99907	    -6.76007	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.5490	    -44.8333	    -14.7924	
           4	       react	           1	         -99	           0	           7	     6.99908	    -6.76008	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.4151	    -44.3646	    -14.5915	
           4	       react	           1	         -99	           0	           8	      6.9991	    -6.76009	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.2991	    -43.9586	    -14.4175	
           4	       react	           1	         -99	           0	           9	     6.99911	    -6.76011	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.1967	    -43.6005	    -14.2640	
           4	       react	           1	         -99	           0	          10	     6.99912	    -6.76012	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.1052	    -43.2802	    -14.1268	
           4	       react	           1	         -99	           0	          11	     6.99924	    -6.76024	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.5030	    -41.1725	    -13.2236	
           4	       react	           1	         -99	           0	          12	     6.99936	    -6.76035	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.1506	    -39.9394	    -12.6952	
           4	       react	           1	         -99	           0	          13	     6.99947	    -6.76047	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.9006	    -39.0644	    -12.3203	
           4	       react	           1	         -99	           0	          14	     6.99959	    -6.76059	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.7066	    -38.3856	    -12.0294	
           4	       react	           1	         -99	           0	          15	     6.99971	    -6.76071	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.5481	    -37.8309	    -11.7918	
           4	       react	           1	         -99	           0	          16	     6.99983	    -6.76083	  1.0000e-11	  2.1000e-10	  7.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.4140	    -37.3618	    -11.5908	
           4	       react	           1	         -99	           0	          17	     6.99995	    -6.76095	  1.0000e-11	  2.4000e-10	  8.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.2978	    -36.9554	    -11.4168	
           4	       react	           1	         -99	           0	          18	     7.00006	    -6.76106	  1.0000e-11	  2.7000e-10	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.1954	    -36.5969	    -11.2632	
           4	       react	           1	         -99	           0	          19	     7.00018	    -6.76118	  1.0000e-11	  3.0000e-10	  1.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.1037	    -36.2762	    -11.1258	
           4	       react	           1	         -99	           0	          20	      7.0003	     -6.7613	  1.0000e-11	  3.3000e-10	  1.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.0207	    -35.9860	    -11.0015	
           4	       react	           1	         -99	           0	          21	     7.00148	    -6.76248	  1.0000e-10	  6.3000e-10	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.4574	    -34.0157	    -10.1580	
           4	       react	           1	         -99	           0	          22	     7.00266	    -6.76366	  1.0000e-10	  9.3000e-10	  3.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -7.1174	    -32.8273	     -9.6495	
           4	       react	           1	         -99	           0	          23	     7.00385	    -6.76485	  1.0000e-10	  1.2300e-09	  4.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.8728	    -31.9729	     -9.2842	
           4	       react	           1	         -99	           0	          24	     7.00503	    -6.76603	  1.0000e-10	  1.5300e-09	  5.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.6816	    -31.3050	     -8.9988	
           4	       react	           1	         -99	           0	          25	     7.00621	    -6.76721	  1.0000e-10	  1.8300e-09	  6.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.5244	    -30.7562	     -8.7645	
           4	       react	           1	         -99	           0	          26	     7.00739	    -6.76839	  1.0000e-10	  2.1300e-09	  7.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.3908	    -30.2903	     -8.5657	
           4	       react	           1	         -99	           0	          27	     7.00857	    -6.76957	  1.0000e-10	  2.4300e-09	  8.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.2747	    -29.8853	     -8.3930	
           4	       react	           1	         -99	           0	          28	     7.00975	    -6.77075	  1.0000e-10	  2.7300e-09	  9.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.1718	    -29.5270	     -8.2403	
           4	       react	           1	         -99	           0	          29	     7.01093	    -6.77193	  1.0000e-10	  3.0300e-09	  1.0100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -6.0796	    -29.2056	     -8.1034	
           4	       react	           1	         -99	           0	          30	      7.0121	    -6.77311	  1.0000e-10	  3.3300e-09	  1.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.9959	    -28.9142	     -7.9794	
           4	       react	           1	         -99	           0	          31	     7.02387	    -6.78487	  1.0000e-09	  6.3300e-09	  2.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.4212	    -26.9177	     -7.1324	
           4	       react	           1	         -99	           0	          32	     7.03558	    -6.79659	  1.0000e-09	  9.3300e-09	  3.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -5.0676	    -25.6951	     -6.6170	
           4	       react	           1	         -99	           0	          33	     7.04724	    -6.80825	  1.0000e-09	  1.2330e-08	  4.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.8089	    -24.8048	     -6.2440	
           4	       react	           1	         -99	           0	          34	     7.05884	    -6.81985	  1.0000e-09	  1.5330e-08	  5.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.6034	    -24.1006	     -5.9508	
           4	       react	           1	         -99	           0	          35	     7.07037	    -6.83138	  1.0000e-09	  1.8330e-08	  6.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.4321	    -23.5158	     -5.7087	
           4	       react	           1	         -99	           0	          36	     7.08182	    -6.84283	  1.0000e-09	  2.1330e-08	  7.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.2845	    -23.0141	     -5.5021	
           4	       react	           1	         -99	           0	          37	     7.09319	     -6.8542	  1.0000e-09	  2.4330e-08	  8.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.1544	    -22.5737	     -5.3219	
           4	       react	           1	         -99	           0	          38	     7.10447	    -6.86549	  1.0000e-09	  2.7330e-08	  9.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -4.0379	    -22.1806	     -5.1618	
           4	       react	           1	         -99	           0	          39	     7.11565	    -6.87667	  1.0000e-09	  3.0330e-08	  1.0110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.9321	    -21.8250	     -5.0178	
           4	       react	           1	         -99	           0	          40	     7.12674	    -6.88776	  1.0000e-09	  3.3330e-08	  1.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.8351	    -21.4999	     -4.8868	
           4	       react	           1	         -99	           0	          41	     7.23139	    -6.99243	  1.0000e-08	  6.3330e-08	  2.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -3.1387	    -19.2020	     -3.9816	
           4	       react	           1	         -99	           0	          42	     7.32381	    -7.08487	  1.0000e-08	  9.3330e-08	  3.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.6851	    -17.7401	     -3.4269	
           4	       react	           1	         -99	           0	          43	     7.40454	    -7.16562	  1.0000e-08	  1.2333e-07	  4.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.3453	    -16.6626	     -3.0291	
           4	       react	           1	         -99	           0	          44	     7.47519	    -7.23628	  1.0000e-08	  1.5333e-07	  5.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -2.0739	    -15.8122	     -2.7214	
           4	       react	           1	         -99	           0	          45	     7.53746	    -7.29858	  1.0000e-08	  1.8333e-07	  6.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.8486	    -15.1125	     -2.4723	
           4	       react	           1	         -99	           0	          46	     7.59285	    -7.35399	  1.0000e-08	  2.1333e-07	  7.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.6565	    -14.5201	     -2.2641	
           4	       react	           1	         -99	           0	          47	     7.64258	    -7.40373	  1.0000e-08	  2.4333e-07	  8.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.4895	    -14.0080	     -2.0860	
           4	       react	           1	         -99	           0	          48	     7.68759	    -7.44876	  1.0000e-08	  2.7333e-07	  9.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.3420	    -13.5579	     -1.9308	
           4	       react	           1	         -99	           0	          49	     7.72865	    -7.48984	  1.0000e-08	  3.0333e-07	  1.0111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.2102	    -13.1572	     -1.7938	
           4	       react	           1	         -99	           0	          50	     7.76636	    -7.52757	  1.0000e-08	  3.3333e-07	  1.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -1.0911	    -12.7966	     -1.6713	
           4	       react	           1	         -99	           0	          51	     8.03194	    -7.79337	  1.0000e-07	  6.3333e-07	  2.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -0.2960	    -10.4192	     -0.8842	
