         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	si_Mackinawite	 si_Greigite	   si_Pyrite	
           2	       react	           1	         -99	           0	           1	       6.999	       -6.76	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.1054	    -49.8035	    -16.6497	
           2	       react	           1	         -99	           0	           2	       6.999	       -6.76	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.5033	    -47.6963	    -15.7467	
           2	       react	           1	         -99	           0	           3	       6.999	       -6.76	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1511	    -46.4637	    -15.2184	
           2	       react	           1	         -99	           0	           4	       6.999	       -6.76	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9013	    -45.5891	    -14.8436	
           2	       react	           1	         -99	           0	           5	     6.99901	       -6.76	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.7074	    -44.9107	    -14.5528	
           2	       react	           1	         -99	           0	           6	     6.99901	    -6.76001	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.5491	    -44.3564	    -14.3153	
           2	       react	           1	         -99	           0	           7	     6.99901	    -6.76001	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.4152	    -43.8878	    -14.1145	
           2	       react	           1	         -99	           0	           8	     6.99901	    -6.76001	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.2992	    -43.4819	    -13.9405	
           2	       react	           1	         -99	           0	           9	     6.99901	    -6.76001	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.1969	    -43.1238	    -13.7870	
           2	       react	           1	         -99	           0	          10	     6.99901	    -6.76001	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.1054	    -42.8035	    -13.6497	
