         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	           1	     6.01598	    -2.10937	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.0112	    -99.5923	    -36.8600	    -26.0391	
           2	       react	           1	         -99	           0	           2	     6.01598	    -2.26002	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.2040	    -92.9658	    -33.8479	    -24.2319	
           2	       react	           1	         -99	           0	           3	     6.01599	    -2.34802	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.1478	    -89.0931	    -32.0876	    -23.1757	
           2	       react	           1	         -99	           0	           4	     6.01599	    -2.41047	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -23.3983	    -86.3451	    -30.8386	    -22.4262	
           2	       react	           1	         -99	           0	           5	     6.01599	    -2.45896	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -22.8166	    -84.2119	    -29.8689	    -21.8445	
           2	       react	           1	         -99	           0	           6	     6.01599	    -2.49854	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -22.3416	    -82.4704	    -29.0773	    -21.3695	
           2	       react	           1	         -99	           0	           7	     6.01599	    -2.53204	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.9397	    -80.9968	    -28.4075	    -20.9676	
           2	       react	           1	         -99	           0	           8	     6.01599	    -2.56105	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.5916	    -79.7205	    -27.8274	    -20.6195	
           2	       react	           1	         -99	           0	           9	     6.01599	    -2.58667	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.2844	    -78.5938	    -27.3152	    -20.3123	
           2	       react	           1	         -99	           0	          10	     6.01599	    -2.60956	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.0098	    -77.5869	    -26.8575	    -20.0377	
