         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	           1	     6.01598	     -2.2204	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.1230	    -95.7844	    -34.8285	    -25.1509	
           2	       react	           1	         -99	           0	           2	     6.01598	    -2.37099	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.3162	    -89.1594	    -31.8172	    -23.3441	
           2	       react	           1	         -99	           0	           3	     6.01598	    -2.45901	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -23.2599	    -85.2861	    -30.0566	    -22.2878	
           2	       react	           1	         -99	           0	           4	     6.01598	     -2.5215	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -22.5100	    -82.5367	    -28.8069	    -21.5379	
           2	       react	           1	         -99	           0	           5	     6.01598	    -2.56997	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.9284	    -80.4042	    -27.8375	    -20.9563	
           2	       react	           1	         -99	           0	           6	     6.01598	    -2.60957	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.4533	    -78.6619	    -27.0456	    -20.4812	
           2	       react	           1	         -99	           0	           7	     6.01598	    -2.64305	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.0515	    -77.1889	    -26.3760	    -20.0794	
           2	       react	           1	         -99	           0	           8	     6.01598	    -2.67205	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.7035	    -75.9129	    -25.7960	    -19.7314	
           2	       react	           1	         -99	           0	           9	     6.01597	    -2.69762	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.3967	    -74.7879	    -25.2847	    -19.4246	
           2	       react	           1	         -99	           0	          10	     6.01597	     -2.7205	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.1221	    -73.7811	    -24.8270	    -19.1500	
           2	       react	           1	         -99	           0	          11	     6.01596	    -2.87103	  1.0000e-11	  2.0000e-11	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -18.3158	    -67.1577	    -21.8164	    -17.3437	
           2	       react	           1	         -99	           0	          12	     6.01596	    -2.95907	  1.0000e-11	  3.0000e-11	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.2592	    -63.2836	    -20.0554	    -16.2871	
           2	       react	           1	         -99	           0	          13	     6.01595	    -3.02153	  1.0000e-11	  4.0000e-11	  1.2000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.5095	    -60.5348	    -18.8059	    -15.5374	
           2	       react	           1	         -99	           0	          14	     6.01594	    -3.06997	  1.0000e-11	  5.0000e-11	  1.5000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.9282	    -58.4031	    -17.8370	    -14.9561	
           2	       react	           1	         -99	           0	          15	     6.01593	    -3.10953	  1.0000e-11	  6.0000e-11	  1.8000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.4533	    -56.6618	    -17.0455	    -14.4812	
