         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     6.01603	       -6.76	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.4853	    -62.7942	    -21.4673	    -14.5142	
           4	       react	           1	         -99	           0	           2	     6.01603	       -6.76	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.8833	    -60.6870	    -20.5642	    -13.9121	
           4	       react	           1	         -99	           0	           3	     6.01603	       -6.76	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.5311	    -59.4544	    -20.0359	    -13.5600	
           4	       react	           1	         -99	           0	           4	     6.01603	    -6.76001	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.2812	    -58.5798	    -19.6611	    -13.3101	
           4	       react	           1	         -99	           0	           5	     6.01603	    -6.76001	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.0874	    -57.9014	    -19.3704	    -13.1163	
           4	       react	           1	         -99	           0	           6	     6.01603	    -6.76001	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.9290	    -57.3471	    -19.1329	    -12.9579	
           4	       react	           1	         -99	           0	           7	     6.01604	    -6.76001	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.7951	    -56.8785	    -18.9320	    -12.8240	
           4	       react	           1	         -99	           0	           8	     6.01604	    -6.76001	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.6791	    -56.4726	    -18.7580	    -12.7080	
           4	       react	           1	         -99	           0	           9	     6.01604	    -6.76001	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.5768	    -56.1145	    -18.6046	    -12.6057	
           4	       react	           1	         -99	           0	          10	     6.01604	    -6.76001	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.4853	    -55.7942	    -18.4673	    -12.5142	
