         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     6.01603	       -6.76	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.4853	    -62.3171	    -20.9902	    -14.5142	
           4	       react	           1	         -99	           0	           2	     6.01603	       -6.76	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.8833	    -60.2099	    -20.0871	    -13.9121	
           4	       react	           1	         -99	           0	           3	     6.01603	       -6.76	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.5311	    -58.9773	    -19.5588	    -13.5600	
           4	       react	           1	         -99	           0	           4	     6.01603	       -6.76	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.2812	    -58.1027	    -19.1840	    -13.3101	
           4	       react	           1	         -99	           0	           5	     6.01603	       -6.76	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.0874	    -57.4243	    -18.8933	    -13.1163	
           4	       react	           1	         -99	           0	           6	     6.01603	       -6.76	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.9290	    -56.8700	    -18.6557	    -12.9579	
           4	       react	           1	         -99	           0	           7	     6.01603	       -6.76	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.7951	    -56.4014	    -18.4549	    -12.8240	
           4	       react	           1	         -99	           0	           8	     6.01603	       -6.76	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.6792	    -55.9955	    -18.2809	    -12.7080	
           4	       react	           1	         -99	           0	           9	     6.01603	       -6.76	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.5768	    -55.6374	    -18.1275	    -12.6057	
           4	       react	           1	         -99	           0	          10	     6.01603	       -6.76	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.4853	    -55.3171	    -17.9902	    -12.5142	
           4	       react	           1	         -99	           0	          11	     6.01603	    -6.76001	  1.0000e-11	  2.0000e-11	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.8833	    -53.2099	    -17.0871	    -11.9121	
           4	       react	           1	         -99	           0	          12	     6.01604	    -6.76001	  1.0000e-11	  3.0000e-11	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.5311	    -51.9772	    -16.5588	    -11.5599	
           4	       react	           1	         -99	           0	          13	     6.01604	    -6.76001	  1.0000e-11	  4.0000e-11	  1.2000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.2812	    -51.1026	    -16.1840	    -11.3101	
           4	       react	           1	         -99	           0	          14	     6.01604	    -6.76001	  1.0000e-11	  5.0000e-11	  1.5000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0874	    -50.4243	    -15.8933	    -11.1162	
           4	       react	           1	         -99	           0	          15	     6.01604	    -6.76002	  1.0000e-11	  6.0000e-11	  1.8000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.9290	    -49.8700	    -15.6557	    -10.9579	
           4	       react	           1	         -99	           0	          16	     6.01605	    -6.76002	  1.0000e-11	  7.0000e-11	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.7951	    -49.4013	    -15.4549	    -10.8240	
