         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     6.01598	    -1.43614	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.3971	   -109.8919	    -36.3856	    -31.4250	
           4	       react	           1	         -99	           0	           2	     6.01599	    -1.53768	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.9827	   -104.7386	    -34.0610	    -30.0106	
           4	       react	           1	         -99	           0	           3	     6.01599	    -1.59693	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.1566	   -101.7286	    -32.7033	    -29.1845	
           4	       react	           1	         -99	           0	           4	     6.01599	    -1.63902	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.5699	    -99.5911	    -31.7391	    -28.5978	
           4	       react	           1	         -99	           0	           5	     6.01599	    -1.67168	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.1149	    -97.9330	    -30.9912	    -28.1428	
           4	       react	           1	         -99	           0	           6	     6.01599	    -1.69831	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.7435	    -96.5799	    -30.3809	    -27.7714	
           4	       react	           1	         -99	           0	           7	     6.01599	    -1.72079	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.4297	    -95.4369	    -29.8653	    -27.4576	
           4	       react	           1	         -99	           0	           8	       6.016	    -1.74026	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.1580	    -94.4469	    -29.4188	    -27.1859	
           4	       react	           1	         -99	           0	           9	       6.016	    -1.75749	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.9179	    -93.5721	    -29.0242	    -26.9458	
           4	       react	           1	         -99	           0	          10	       6.016	    -1.77284	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.7036	    -92.7914	    -28.6721	    -26.7315	
