         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
          14	       react	           1	         -99	           0	           1	     6.99901	    -1.31013	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -33.2849	   -107.9334	    -35.3078	    -32.1767	
          14	       react	           1	         -99	           0	           2	     6.99901	    -1.41059	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.8792	   -102.8125	    -32.9983	    -30.7709	
          14	       react	           1	         -99	           0	           3	     6.99902	    -1.46927	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.0576	    -99.8198	    -31.6487	    -29.9494	
          14	       react	           1	         -99	           0	           4	     6.99902	    -1.51096	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.4743	    -97.6946	    -30.6903	    -29.3660	
          14	       react	           1	         -99	           0	           5	     6.99903	    -1.54327	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.0220	    -96.0471	    -29.9473	    -28.9138	
          14	       react	           1	         -99	           0	           6	     6.99903	    -1.56969	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.6523	    -94.7004	    -29.3400	    -28.5441	
          14	       react	           1	         -99	           0	           7	     6.99904	    -1.59203	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.3398	    -93.5618	    -28.8265	    -28.2315	
          14	       react	           1	         -99	           0	           8	     6.99905	    -1.61137	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.0690	    -92.5756	    -28.3817	    -27.9608	
          14	       react	           1	         -99	           0	           9	     6.99905	    -1.62843	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.8303	    -91.7061	    -27.9896	    -27.7221	
          14	       react	           1	         -99	           0	          10	     6.99906	    -1.64369	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.6168	    -90.9282	    -27.6388	    -27.5086	
          14	       react	           1	         -99	           0	          11	     6.99911	     -1.7441	  1.0000e-11	  2.0000e-11	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.2119	    -85.8105	    -25.3308	    -26.1037	
          14	       react	           1	         -99	           0	          12	     6.99917	    -1.80287	  1.0000e-11	  3.0000e-11	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.3900	    -82.8166	    -23.9807	    -25.2818	
          14	       react	           1	         -99	           0	          13	     6.99923	    -1.84459	  1.0000e-11	  4.0000e-11	  1.2000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.8068	    -80.6921	    -23.0227	    -24.6986	
          14	       react	           1	         -99	           0	          14	     6.99928	    -1.87697	  1.0000e-11	  5.0000e-11	  1.5000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -25.3545	    -79.0443	    -22.2796	    -24.2462	
          14	       react	           1	         -99	           0	          15	     6.99934	    -1.90344	  1.0000e-11	  6.0000e-11	  1.8000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.9848	    -77.6979	    -21.6724	    -23.8766	
          14	       react	           1	         -99	           0	          16	      6.9994	    -1.92583	  1.0000e-11	  7.0000e-11	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.6722	    -76.5593	    -21.1590	    -23.5640	
          14	       react	           1	         -99	           0	          17	     6.99945	    -1.94523	  1.0000e-11	  8.0000e-11	  2.4000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.4015	    -75.5729	    -20.7142	    -23.2932	
          14	       react	           1	         -99	           0	          18	     6.99951	    -1.96236	  1.0000e-11	  9.0000e-11	  2.7000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.1626	    -74.7029	    -20.3219	    -23.0544	
          14	       react	           1	         -99	           0	          19	     6.99957	    -1.97769	  1.0000e-11	  1.0000e-10	  3.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -23.9489	    -73.9245	    -19.9709	    -22.8407	
          14	       react	           1	         -99	           0	          20	     6.99963	    -1.99156	  1.0000e-11	  1.1000e-10	  3.3000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -23.7556	    -73.2204	    -19.6535	    -22.6473	
