         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           8	       react	           1	         -99	           0	           1	     7.02505	    -9.29001	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.5625	    -59.3066	    -23.9074	    -13.5395	
           8	       react	           1	         -99	           0	           2	     7.02507	    -9.29002	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.9604	    -57.1994	    -23.0043	    -12.9375	
           8	       react	           1	         -99	           0	           3	     7.02508	    -9.29004	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.6082	    -55.9667	    -22.4760	    -12.5853	
           8	       react	           1	         -99	           0	           4	     7.02509	    -9.29005	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.3583	    -55.0921	    -22.1012	    -12.3354	
           8	       react	           1	         -99	           0	           5	      7.0251	    -9.29006	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.1645	    -54.4137	    -21.8104	    -12.1415	
           8	       react	           1	         -99	           0	           6	     7.02512	    -9.29007	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.0061	    -53.8593	    -21.5729	    -11.9832	
           8	       react	           1	         -99	           0	           7	     7.02513	    -9.29009	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.8722	    -53.3907	    -21.3720	    -11.8492	
           8	       react	           1	         -99	           0	           8	     7.02514	     -9.2901	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.7562	    -52.9847	    -21.1980	    -11.7332	
           8	       react	           1	         -99	           0	           9	     7.02515	    -9.29011	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6539	    -52.6266	    -21.0446	    -11.6309	
           8	       react	           1	         -99	           0	          10	     7.02517	    -9.29012	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.5623	    -52.3062	    -20.9073	    -11.5394	
           8	       react	           1	         -99	           0	          11	     7.02529	    -9.29025	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.9601	    -50.1986	    -20.0041	    -10.9372	
           8	       react	           1	         -99	           0	          12	     7.02542	    -9.29037	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.6077	    -48.9655	    -19.4757	    -10.5848	
           8	       react	           1	         -99	           0	          13	     7.02554	     -9.2905	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.3577	    -48.0905	    -19.1008	    -10.3348	
           8	       react	           1	         -99	           0	          14	     7.02566	    -9.29062	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1637	    -47.4117	    -18.8100	    -10.1408	
           8	       react	           1	         -99	           0	          15	     7.02579	    -9.29075	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.0052	    -46.8570	    -18.5723	     -9.9822	
           8	       react	           1	         -99	           0	          16	     7.02591	    -9.29087	  1.0000e-11	  2.1000e-10	  7.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.8711	    -46.3879	    -18.3714	     -9.8482	
           8	       react	           1	         -99	           0	          17	     7.02604	      -9.291	  1.0000e-11	  2.4000e-10	  8.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.7549	    -45.9815	    -18.1973	     -9.7320	
           8	       react	           1	         -99	           0	          18	     7.02616	    -9.29112	  1.0000e-11	  2.7000e-10	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.6525	    -45.6230	    -18.0438	     -9.6295	
           8	       react	           1	         -99	           0	          19	     7.02629	    -9.29124	  1.0000e-11	  3.0000e-10	  1.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.5608	    -45.3023	    -17.9064	     -9.5378	
           8	       react	           1	         -99	           0	          20	     7.02641	    -9.29137	  1.0000e-11	  3.3000e-10	  1.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.4778	    -45.0121	    -17.7821	     -9.4549	
           8	       react	           1	         -99	           0	          21	     7.02765	    -9.29261	  1.0000e-10	  6.3000e-10	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.9144	    -43.0419	    -16.9387	     -8.8915	
