         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     7.02504	       -9.29	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.5625	    -58.8295	    -23.4303	    -13.5396	
           4	       react	           1	         -99	           0	           2	     7.02504	       -9.29	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.9604	    -56.7223	    -22.5272	    -12.9375	
           4	       react	           1	         -99	           0	           3	     7.02504	       -9.29	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.6082	    -55.4897	    -21.9989	    -12.5853	
           4	       react	           1	         -99	           0	           4	     7.02504	       -9.29	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.3584	    -54.6151	    -21.6241	    -12.3354	
           4	       react	           1	         -99	           0	           5	     7.02505	       -9.29	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.1645	    -53.9367	    -21.3333	    -12.1416	
           4	       react	           1	         -99	           0	           6	     7.02505	       -9.29	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.0062	    -53.3825	    -21.0958	    -11.9833	
           4	       react	           1	         -99	           0	           7	     7.02505	       -9.29	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.8723	    -52.9138	    -20.8950	    -11.8494	
           4	       react	           1	         -99	           0	           8	     7.02505	       -9.29	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.7563	    -52.5079	    -20.7210	    -11.7334	
           4	       react	           1	         -99	           0	           9	     7.02505	    -9.29001	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6540	    -52.1498	    -20.5675	    -11.6311	
           4	       react	           1	         -99	           0	          10	     7.02505	    -9.29001	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.5625	    -51.8295	    -20.4302	    -11.5396	
           4	       react	           1	         -99	           0	          11	     7.02505	    -9.29001	  1.0000e-11	  2.0000e-11	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.9604	    -49.7223	    -19.5272	    -10.9375	
           4	       react	           1	         -99	           0	          12	     7.02506	    -9.29002	  1.0000e-11	  3.0000e-11	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.6082	    -48.4896	    -18.9989	    -10.5853	
           4	       react	           1	         -99	           0	          13	     7.02507	    -9.29002	  1.0000e-11	  4.0000e-11	  1.2000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.3583	    -47.6150	    -18.6241	    -10.3354	
           4	       react	           1	         -99	           0	          14	     7.02507	    -9.29003	  1.0000e-11	  5.0000e-11	  1.5000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.1645	    -46.9367	    -18.3333	    -10.1416	
           4	       react	           1	         -99	           0	          15	     7.02508	    -9.29004	  1.0000e-11	  6.0000e-11	  1.8000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.0061	    -46.3824	    -18.0958	     -9.9832	
           4	       react	           1	         -99	           0	          16	     7.02508	    -9.29004	  1.0000e-11	  7.0000e-11	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.8722	    -45.9137	    -17.8949	     -9.8493	
           4	       react	           1	         -99	           0	          17	     7.02509	    -9.29005	  1.0000e-11	  8.0000e-11	  2.4000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.7562	    -45.5077	    -17.7209	     -9.7333	
           4	       react	           1	         -99	           0	          18	      7.0251	    -9.29005	  1.0000e-11	  9.0000e-11	  2.7000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.6539	    -45.1497	    -17.5675	     -9.6310	
           4	       react	           1	         -99	           0	          19	      7.0251	    -9.29006	  1.0000e-11	  1.0000e-10	  3.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.5624	    -44.8293	    -17.4302	     -9.5395	
           4	       react	           1	         -99	           0	          20	     7.02511	    -9.29007	  1.0000e-11	  1.1000e-10	  3.3000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.4796	    -44.5396	    -17.3060	     -9.4567	
           4	       react	           1	         -99	           0	          21	     7.02517	    -9.29012	  1.0000e-10	  2.1000e-10	  6.3000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.9179	    -42.5736	    -16.4635	     -8.8950	
           4	       react	           1	         -99	           0	          22	     7.02523	    -9.29018	  1.0000e-10	  3.1000e-10	  9.3000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.5795	    -41.3894	    -15.9560	     -8.5566	
           4	       react	           1	         -99	           0	          23	     7.02529	    -9.29024	  1.0000e-10	  4.1000e-10	  1.2300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.3366	    -40.5392	    -15.5917	     -8.3137	
           4	       react	           1	         -99	           0	          24	     7.02534	     -9.2903	  1.0000e-10	  5.1000e-10	  1.5300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.1469	    -39.8755	    -15.3073	     -8.1240	
           4	       react	           1	         -99	           0	          25	      7.0254	    -9.29036	  1.0000e-10	  6.1000e-10	  1.8300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.9913	    -39.3310	    -15.0740	     -7.9684	
           4	       react	           1	         -99	           0	          26	     7.02546	    -9.29042	  1.0000e-10	  7.1000e-10	  2.1300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.8594	    -38.8693	    -14.8762	     -7.8365	
           4	       react	           1	         -99	           0	          27	     7.02552	    -9.29048	  1.0000e-10	  8.1000e-10	  2.4300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.7449	    -38.4685	    -14.7044	     -7.7219	
