         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	      i_soln	           1	         -99	         -99	         -99	     6.01598	        2.95	         -99	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	   -999.9990	   -999.9990	   -999.9990	
           2	       react	           1	         -99	           0	           1	     6.01598	     -2.2204	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.1230	    -95.9314	    -34.9735	    -25.2949	
           2	       react	           1	         -99	           0	           2	     6.01598	    -2.37099	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.3162	    -89.3065	    -31.9621	    -23.4881	
           2	       react	           1	         -99	           0	           3	     6.01598	    -2.45901	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -23.2599	    -85.4332	    -30.2016	    -22.4317	
           2	       react	           1	         -99	           0	           4	     6.01598	     -2.5215	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -22.5100	    -82.6838	    -28.9518	    -21.6819	
           2	       react	           1	         -99	           0	           5	     6.01598	    -2.56997	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.9284	    -80.5513	    -27.9825	    -21.1003	
           2	       react	           1	         -99	           0	           6	     6.01598	    -2.60957	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.4533	    -78.8090	    -27.1905	    -20.6251	
           2	       react	           1	         -99	           0	           7	     6.01598	    -2.64305	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -21.0515	    -77.3360	    -26.5210	    -20.2234	
           2	       react	           1	         -99	           0	           8	     6.01598	    -2.67205	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.7035	    -76.0600	    -25.9410	    -19.8754	
           2	       react	           1	         -99	           0	           9	     6.01597	    -2.69762	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.3967	    -74.9350	    -25.4296	    -19.5686	
           2	       react	           1	         -99	           0	          10	     6.01597	     -2.7205	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.1221	    -73.9282	    -24.9720	    -19.2940	
           2	       react	           1	         -99	           0	          11	     6.01596	    -2.87103	  1.0000e-11	  2.0000e-11	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -18.3158	    -67.3048	    -21.9613	    -17.4876	
           2	       react	           1	         -99	           0	          12	     6.01596	    -2.95907	  1.0000e-11	  3.0000e-11	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.2592	    -63.4306	    -20.2003	    -16.4310	
           2	       react	           1	         -99	           0	          13	     6.01595	    -3.02153	  1.0000e-11	  4.0000e-11	  1.2000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.5095	    -60.6819	    -18.9509	    -15.6814	
           2	       react	           1	         -99	           0	          14	     6.01594	    -3.06997	  1.0000e-11	  5.0000e-11	  1.5000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.9282	    -58.5502	    -17.9819	    -15.1000	
           2	       react	           1	         -99	           0	          15	     6.01593	    -3.10953	  1.0000e-11	  6.0000e-11	  1.8000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.4533	    -56.8089	    -17.1904	    -14.6251	
           2	       react	           1	         -99	           0	          16	     6.01592	    -3.14297	  1.0000e-11	  7.0000e-11	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.0519	    -55.3371	    -16.5215	    -14.2237	
           2	       react	           1	         -99	           0	          17	     6.01591	    -3.17191	  1.0000e-11	  8.0000e-11	  2.4000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.7044	    -54.0631	    -15.9424	    -13.8762	
