         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           6	       react	           1	         -99	           0	           1	     6.99901	    -2.96385	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.0551	    -64.9902	    -18.8247	    -18.9469	
           6	       react	           1	         -99	           0	           2	     6.99902	    -3.11398	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -18.2521	    -58.3795	    -15.8200	    -17.1439	
           6	       react	           1	         -99	           0	           3	     6.99903	    -3.20187	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.1971	    -54.5112	    -14.0617	    -16.0888	
           6	       react	           1	         -99	           0	           4	     6.99903	     -3.2641	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.4497	    -51.7711	    -12.8164	    -15.3415	
           6	       react	           1	         -99	           0	           5	     6.99904	     -3.3123	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.8710	    -49.6499	    -11.8524	    -14.7628	
           6	       react	           1	         -99	           0	           6	     6.99905	    -3.35146	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.4008	    -47.9262	    -11.0694	    -14.2925	
           6	       react	           1	         -99	           0	           7	     6.99906	    -3.38425	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.0067	    -46.4824	    -10.4137	    -13.8984	
           6	       react	           1	         -99	           0	           8	     6.99907	    -3.41228	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.6696	    -45.2481	     -9.8536	    -13.5614	
           6	       react	           1	         -99	           0	           9	     6.99908	    -3.43644	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.3782	    -44.1822	     -9.3704	    -13.2700	
           6	       react	           1	         -99	           0	          10	     6.99909	    -3.45753	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.1236	    -43.2515	     -8.9490	    -13.0154	
