         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           6	       react	           1	         -99	           0	           1	     6.99899	    -3.07445	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -19.1702	    -61.1947	    -16.7990	    -18.0620	
           6	       react	           1	         -99	           0	           2	     6.99898	    -3.22459	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.3672	    -54.5840	    -13.7943	    -16.2590	
           6	       react	           1	         -99	           0	           3	     6.99897	    -3.31192	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.3173	    -50.7350	    -12.0451	    -15.2090	
           6	       react	           1	         -99	           0	           4	     6.99897	     -3.3729	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.5819	    -48.0406	    -10.8214	    -14.4737	
           6	       react	           1	         -99	           0	           5	     6.99896	    -3.41847	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.0283	    -46.0141	     -9.9022	    -13.9201	
           6	       react	           1	         -99	           0	           6	     6.99895	    -3.45351	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.5972	    -44.4388	     -9.1892	    -13.4889	
           6	       react	           1	         -99	           0	           7	     6.99894	    -3.48078	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.2552	    -43.1925	     -8.6267	    -13.1470	
           6	       react	           1	         -99	           0	           8	     6.99894	    -3.50234	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.9790	    -42.1886	     -8.1754	    -12.8707	
           6	       react	           1	         -99	           0	           9	     6.99893	     -3.5196	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.7521	    -41.3670	     -7.8074	    -12.6439	
           6	       react	           1	         -99	           0	          10	     6.99893	    -3.53367	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.5623	    -40.6814	     -7.5015	    -12.4540	
           6	       react	           1	         -99	           0	          11	      6.9989	    -3.60083	  1.0000e-11	  2.0000e-11	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.5521	    -37.0759	     -5.9165	    -11.4438	
           6	       react	           1	         -99	           0	          12	     6.99888	    -3.62703	  1.0000e-11	  3.0000e-11	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0784	    -35.4098	     -5.1976	    -10.9702	
           6	       react	           1	         -99	           0	          13	     6.99886	    -3.64217	  1.0000e-11	  4.0000e-11	  1.2000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.7697	    -34.3303	     -4.7355	    -10.6615	
           6	       react	           1	         -99	           0	          14	     6.99885	     -3.6524	  1.0000e-11	  5.0000e-11	  1.5000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.5409	    -33.5324	     -4.3952	    -10.4327	
           6	       react	           1	         -99	           0	          15	     6.99884	    -3.65992	  1.0000e-11	  6.0000e-11	  1.8000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.3592	    -32.8998	     -4.1260	    -10.2510	
           6	       react	           1	         -99	           0	          16	     6.99883	    -3.66574	  1.0000e-11	  7.0000e-11	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.2086	    -32.3758	     -3.9034	    -10.1003	
           6	       react	           1	         -99	           0	          17	     6.99882	    -3.67042	  1.0000e-11	  8.0000e-11	  2.4000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.0800	    -31.9287	     -3.7135	     -9.9717	
           6	       react	           1	         -99	           0	          18	     6.99881	    -3.67428	  1.0000e-11	  9.0000e-11	  2.7000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9678	    -31.5389	     -3.5480	     -9.8595	
           6	       react	           1	         -99	           0	          19	      6.9988	    -3.67753	  1.0000e-11	  1.0000e-10	  3.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.8683	    -31.1933	     -3.4013	     -9.7601	
           6	       react	           1	         -99	           0	          20	     6.99879	    -3.68031	  1.0000e-11	  1.1000e-10	  3.3000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.7790	    -30.8829	     -3.2696	     -9.6707	
           6	       react	           1	         -99	           0	          21	     6.99871	    -3.69554	  1.0000e-10	  2.1000e-10	  6.3000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.1855	    -28.8202	     -2.3939	     -9.0773	
           6	       react	           1	         -99	           0	          22	     6.99864	    -3.70204	  1.0000e-10	  3.1000e-10	  9.3000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.8355	    -27.6026	     -1.8762	     -8.7273	
           6	       react	           1	         -99	           0	          23	     6.99857	    -3.70566	  1.0000e-10	  4.1000e-10	  1.2300e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.5866	    -26.7357	     -1.5071	     -8.4784	
