         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     6.99901	    -2.96333	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.0139	    -69.4769	    -21.0671	    -18.9054	
           4	       react	           1	         -99	           0	           2	     6.99902	    -3.11372	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -18.2088	    -62.8584	    -18.0588	    -17.1003	
           4	       react	           1	         -99	           0	           3	     6.99903	    -3.20169	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.1530	    -58.9874	    -16.2993	    -16.0446	
           4	       react	           1	         -99	           0	           4	     6.99903	    -3.26397	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.4053	    -56.2461	    -15.0534	    -15.2969	
           4	       react	           1	         -99	           0	           5	     6.99904	     -3.3122	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.8264	    -54.1240	    -14.0890	    -14.7180	
           4	       react	           1	         -99	           0	           6	     6.99905	    -3.35138	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.3560	    -52.3998	    -13.3057	    -14.2476	
           4	       react	           1	         -99	           0	           7	     6.99906	    -3.38418	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.9618	    -50.9555	    -12.6499	    -13.8534	
           4	       react	           1	         -99	           0	           8	     6.99907	    -3.41221	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.6247	    -49.7210	    -12.0896	    -13.5162	
           4	       react	           1	         -99	           0	           9	     6.99908	    -3.43639	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.3332	    -48.6548	    -11.6063	    -13.2248	
           4	       react	           1	         -99	           0	          10	     6.99909	     -3.4575	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.0784	    -47.7232	    -11.1845	    -12.9699	
           4	       react	           1	         -99	           0	          11	     6.99919	    -3.57348	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.6598	    -42.5819	     -8.8803	    -11.5513	
           4	       react	           1	         -99	           0	          12	      6.9993	    -3.62293	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.0519	    -40.4255	     -7.9396	    -10.9435	
           4	       react	           1	         -99	           0	          13	     6.99942	    -3.65402	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.6854	    -39.1466	     -7.3937	    -10.5770	
           4	       react	           1	         -99	           0	          14	     6.99954	    -3.67766	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.4257	    -38.2518	     -7.0184	    -10.3172	
           4	       react	           1	         -99	           0	          15	     6.99967	    -3.69748	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.2253	    -37.5691	     -6.7365	    -10.1169	
           4	       react	           1	         -99	           0	          16	     6.99979	    -3.71508	  1.0000e-11	  2.1000e-10	  7.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -11.0627	    -37.0208	     -6.5134	     -9.9542	
           4	       react	           1	         -99	           0	          17	     6.99991	    -3.73129	  1.0000e-11	  2.4000e-10	  8.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.9261	    -36.5650	     -6.3307	     -9.8177	
           4	       react	           1	         -99	           0	          18	     7.00003	    -3.74655	  1.0000e-11	  2.7000e-10	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.8086	    -36.1767	     -6.1774	     -9.7002	
           4	       react	           1	         -99	           0	          19	     7.00015	    -3.76112	  1.0000e-11	  3.0000e-10	  1.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.7057	    -35.8399	     -6.0464	     -9.5973	
           4	       react	           1	         -99	           0	          20	     7.00028	    -3.77517	  1.0000e-11	  3.3000e-10	  1.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.6142	    -35.5434	     -5.9329	     -9.5058	
           4	       react	           1	         -99	           0	          21	     7.00148	    -3.89294	  1.0000e-10	  6.3000e-10	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -10.0240	    -33.6988	     -5.2688	     -8.9155	
           4	       react	           1	         -99	           0	          22	     7.00266	     -3.9759	  1.0000e-10	  9.3000e-10	  3.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.6811	    -32.6624	     -4.9181	     -8.5727	
           4	       react	           1	         -99	           0	          23	     7.00384	    -4.03725	  1.0000e-10	  1.2300e-09	  4.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.4360	    -31.9261	     -4.6720	     -8.3276	
           4	       react	           1	         -99	           0	          24	     7.00503	    -4.08567	  1.0000e-10	  1.5300e-09	  5.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.2446	    -31.3520	     -4.4808	     -8.1361	
           4	       react	           1	         -99	           0	          25	     7.00621	    -4.12568	  1.0000e-10	  1.8300e-09	  6.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -9.0873	    -30.8807	     -4.3240	     -7.9789	
           4	       react	           1	         -99	           0	          26	     7.00739	     -4.1598	  1.0000e-10	  2.1300e-09	  7.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.9537	    -30.4806	     -4.1910	     -7.8453	
           4	       react	           1	         -99	           0	          27	     7.00857	    -4.18959	  1.0000e-10	  2.4300e-09	  8.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	     -8.8376	    -30.1327	     -4.0755	     -7.7291	
