         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     6.99901	    -2.90095	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -20.5583	    -60.6859	    -13.5135	    -19.4501	
           4	       react	           1	         -99	           0	           2	     6.99902	    -3.08475	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -18.4860	    -53.0652	    -10.0374	    -17.3777	
           4	       react	           1	         -99	           0	           3	     6.99903	    -3.18282	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.3494	    -48.8910	     -8.1365	    -16.2412	
           4	       react	           1	         -99	           0	           4	     6.99904	    -3.25006	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.5620	    -46.0007	     -6.8210	    -15.4537	
           4	       react	           1	         -99	           0	           5	     6.99905	    -3.30118	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.9599	    -43.7915	     -5.8160	    -14.8516	
           4	       react	           1	         -99	           0	           6	     6.99905	    -3.34228	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.4739	    -42.0089	     -5.0053	    -14.3656	
           4	       react	           1	         -99	           0	           7	     6.99906	    -3.37647	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.0683	    -40.5220	     -4.3296	    -13.9601	
           4	       react	           1	         -99	           0	           8	     6.99907	    -3.40554	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.7226	    -39.2555	     -3.7544	    -13.6144	
           4	       react	           1	         -99	           0	           9	     6.99908	    -3.43059	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.4239	    -38.1617	     -3.2581	    -13.3157	
           4	       react	           1	         -99	           0	          10	     6.99909	    -3.45237	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.1633	    -37.2087	     -2.8263	    -13.0551	
           4	       react	           1	         -99	           0	          11	     6.99919	    -3.57145	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -12.7174	    -31.9642	     -0.4736	    -11.6092	
           4	       react	           1	         -99	           0	          12	     6.99931	    -3.60419	  1.0000e-11	  8.5298e-11	  2.0595e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.7024e-12	  4.7024e-12	  0.0000e+00	  0.0000e+00	    -12.3714	    -30.7987	      0.0000	    -11.2632	
           4	       react	           1	         -99	           0	          13	     6.99942	    -3.62259	  1.0000e-11	  1.0785e-10	  1.5693e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.2154e-11	  7.4513e-12	  0.0000e+00	  0.0000e+00	    -12.3021	    -30.6600	      0.0000	    -11.1939	
           4	       react	           1	         -99	           0	          14	     6.99954	    -3.64575	  1.0000e-11	  1.3109e-10	  1.2189e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.8906e-11	  6.7520e-12	  0.0000e+00	  0.0000e+00	    -12.2366	    -30.5289	      0.0000	    -11.1283	
           4	       react	           1	         -99	           0	          15	     6.99965	    -3.67191	  1.0000e-11	  1.5496e-10	  9.9179e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5041e-11	  6.1354e-12	  0.0000e+00	  0.0000e+00	    -12.1741	    -30.4040	      0.0000	    -11.0659	
           4	       react	           1	         -99	           0	          16	     6.99976	    -3.69883	  1.0000e-11	  1.7928e-10	  8.5645e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.0718e-11	  5.6767e-12	  0.0000e+00	  0.0000e+00	    -12.1155	    -30.2868	      0.0000	    -11.0073	
