         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           8	       react	           1	         -99	           0	           1	     6.99899	    -3.03887	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -19.4548	    -56.0706	    -11.1052	    -18.3466	
           8	       react	           1	         -99	           0	           2	     6.99898	    -3.20754	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -17.5036	    -48.9039	     -7.8410	    -16.3953	
           8	       react	           1	         -99	           0	           3	     6.99898	    -3.30078	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -16.4062	    -44.8770	     -6.0088	    -15.2979	
           8	       react	           1	         -99	           0	           4	     6.99897	    -3.36472	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.6469	    -42.0927	     -4.7431	    -14.5387	
           8	       react	           1	         -99	           0	           5	     6.99896	    -3.41215	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -15.0780	    -40.0088	     -3.7970	    -13.9698	
           8	       react	           1	         -99	           0	           6	     6.99895	    -3.44849	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.6360	    -38.3925	     -3.0648	    -13.5277	
           8	       react	           1	         -99	           0	           7	     6.99895	    -3.47676	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.2856	    -37.1146	     -2.4876	    -13.1774	
           8	       react	           1	         -99	           0	           8	     6.99894	      -3.499	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -14.0035	    -36.0886	     -2.0258	    -12.8952	
           8	       react	           1	         -99	           0	           9	     6.99893	     -3.5168	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.7721	    -35.2497	     -1.6498	    -12.6638	
           8	       react	           1	         -99	           0	          10	     6.99893	    -3.53128	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -13.5788	    -34.5512	     -1.3379	    -12.4705	
           8	       react	           1	         -99	           0	          11	      6.9989	    -3.58985	  1.0000e-11	  1.6669e-11	  5.3337e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.3313e-12	  3.3313e-12	  0.0000e+00	  0.0000e+00	    -12.7403	    -31.5364	      0.0000	    -11.6321	
           8	       react	           1	         -99	           0	          12	     6.99887	    -3.59256	  1.0000e-11	  1.3656e-11	  5.7313e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.6344e-11	  1.3012e-11	  0.0000e+00	  0.0000e+00	    -12.7809	    -31.6176	      0.0000	    -11.6726	
           8	       react	           1	         -99	           0	          13	     6.99885	    -3.59586	  1.0000e-11	  1.0954e-11	  6.1909e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.9046e-11	  1.2702e-11	  0.0000e+00	  0.0000e+00	    -12.8255	    -31.7067	      0.0000	    -11.7172	
           8	       react	           1	         -99	           0	          14	     6.99882	    -3.59971	  1.0000e-11	  8.6166e-12	  6.7233e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.1383e-11	  1.2338e-11	  0.0000e+00	  0.0000e+00	    -12.8737	    -31.8032	      0.0000	    -11.7655	
           8	       react	           1	         -99	           0	          15	      6.9988	      -3.604	  1.0000e-11	  6.6776e-12	  7.3355e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.3322e-11	  1.1939e-11	  0.0000e+00	  0.0000e+00	    -12.9248	    -31.9054	      0.0000	    -11.8166	
           8	       react	           1	         -99	           0	          16	     6.99878	    -3.60853	  1.0000e-11	  5.1373e-12	  8.0275e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.4863e-11	  1.1540e-11	  0.0000e+00	  0.0000e+00	    -12.9772	    -32.0102	      0.0000	    -11.8690	
           8	       react	           1	         -99	           0	          17	     6.99876	    -3.61309	  1.0000e-11	  3.9576e-12	  8.7915e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.6042e-11	  1.1180e-11	  0.0000e+00	  0.0000e+00	    -13.0293	    -32.1144	      0.0000	    -11.9211	
           8	       react	           1	         -99	           0	          18	     6.99873	    -3.61749	  1.0000e-11	  3.0757e-12	  9.6151e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.6924e-11	  1.0882e-11	  0.0000e+00	  0.0000e+00	    -13.0796	    -32.2151	      0.0000	    -11.9714	
           8	       react	           1	         -99	           0	          19	     6.99871	    -3.62162	  1.0000e-11	  2.4227e-12	  1.0485e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.7577e-11	  1.0653e-11	  0.0000e+00	  0.0000e+00	    -13.1273	    -32.3105	      0.0000	    -12.0191	
           8	       react	           1	         -99	           0	          20	     6.99869	    -3.62542	  1.0000e-11	  1.9383e-12	  1.1388e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0806e-10	  1.0484e-11	  0.0000e+00	  0.0000e+00	    -13.1720	    -32.3997	     -0.0000	    -12.0637	
           8	       react	           1	         -99	           0	          21	     6.99848	    -3.64897	  1.0000e-10	  4.1736e-13	  2.1083e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.0958e-10	  1.0152e-10	  0.0000e+00	  0.0000e+00	    -13.4819	    -33.0196	      0.0000	    -12.3736	
           8	       react	           1	         -99	           0	          22	     6.99828	    -3.65973	  1.0000e-10	  1.7283e-13	  3.1035e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.0983e-10	  1.0024e-10	  0.0000e+00	  0.0000e+00	    -13.6626	    -33.3809	      0.0000	    -12.5543	
           8	       react	           1	         -99	           0	          23	     6.99808	    -3.66585	  1.0000e-10	  9.3757e-14	  4.1019e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.0991e-10	  1.0008e-10	  0.0000e+00	  0.0000e+00	    -13.7893	    -33.6343	      0.0000	    -12.6810	
           8	       react	           1	         -99	           0	          24	     6.99789	    -3.66978	  1.0000e-10	  5.8724e-14	  5.1012e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.0994e-10	  1.0004e-10	  0.0000e+00	  0.0000e+00	    -13.8869	    -33.8296	     -0.0000	    -12.7787	
           8	       react	           1	         -99	           0	          25	     6.99769	     -3.6725	  1.0000e-10	  4.0207e-14	  6.1008e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.0996e-10	  1.0002e-10	  0.0000e+00	  0.0000e+00	    -13.9665	    -33.9887	      0.0000	    -12.8582	
           8	       react	           1	         -99	           0	          26	      6.9975	    -3.67448	  1.0000e-10	  2.9247e-14	  7.1006e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.0997e-10	  1.0001e-10	  0.0000e+00	  0.0000e+00	    -14.0336	    -34.1230	      0.0000	    -12.9254	
           8	       react	           1	         -99	           0	          27	      6.9973	    -3.67596	  1.0000e-10	  2.2229e-14	  8.1004e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.0998e-10	  1.0001e-10	  0.0000e+00	  0.0000e+00	    -14.0917	    -34.2392	      0.0000	    -12.9835	
           8	       react	           1	         -99	           0	          28	     6.99711	     -3.6771	  1.0000e-10	  1.7465e-14	  9.1003e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.0998e-10	  1.0000e-10	  0.0000e+00	  0.0000e+00	    -14.1429	    -34.3416	      0.0000	    -13.0347	
           8	       react	           1	         -99	           0	          29	     6.99691	    -3.67799	  1.0000e-10	  1.4085e-14	  1.0100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0100e-09	  1.0000e-10	  0.0000e+00	  0.0000e+00	    -14.1887	    -34.4333	      0.0000	    -13.0805	
           8	       react	           1	         -99	           0	          30	     6.99672	     -3.6787	  1.0000e-10	  1.1600e-14	  1.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1100e-09	  1.0000e-10	  0.0000e+00	  0.0000e+00	    -14.2302	    -34.5162	     -0.0000	    -13.1220	
           8	       react	           1	         -99	           0	          31	     6.99478	     -3.6811	  1.0000e-09	  3.1348e-15	  2.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.1100e-09	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -14.5119	    -35.0796	      0.0000	    -13.4037	
           8	       react	           1	         -99	           0	          32	     6.99285	    -3.68059	  1.0000e-09	  1.4333e-15	  3.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.1100e-09	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -14.6823	    -35.4205	      0.0000	    -13.5741	
           8	       react	           1	         -99	           0	          33	     6.99093	    -3.67924	  1.0000e-09	  8.1885e-16	  4.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.1100e-09	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -14.8053	    -35.6663	      0.0000	    -13.6970	
           8	       react	           1	         -99	           0	          34	       6.989	    -3.67754	  1.0000e-09	  5.2951e-16	  5.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.1100e-09	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -14.9016	    -35.8590	     -0.0000	    -13.7934	
           8	       react	           1	         -99	           0	          35	     6.98708	    -3.67566	  1.0000e-09	  3.7057e-16	  6.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.1100e-09	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -14.9810	    -36.0178	      0.0000	    -13.8728	
           8	       react	           1	         -99	           0	          36	     6.98517	    -3.67367	  1.0000e-09	  2.7396e-16	  7.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.1100e-09	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -15.0486	    -36.1530	      0.0000	    -13.9404	
           8	       react	           1	         -99	           0	          37	     6.98326	    -3.67162	  1.0000e-09	  2.1086e-16	  8.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.1100e-09	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -15.1075	    -36.2707	     -0.0000	    -13.9992	
           8	       react	           1	         -99	           0	          38	     6.98135	    -3.66953	  1.0000e-09	  1.6738e-16	  9.1100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.1100e-09	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -15.1597	    -36.3752	     -0.0000	    -14.0515	
           8	       react	           1	         -99	           0	          39	     6.97945	    -3.66741	  1.0000e-09	  1.3615e-16	  1.0110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0110e-08	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -15.2067	    -36.4691	      0.0000	    -14.0984	
           8	       react	           1	         -99	           0	          40	     6.97754	    -3.66527	  1.0000e-09	  1.1296e-16	  1.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1110e-08	  1.0000e-09	  0.0000e+00	  0.0000e+00	    -15.2494	    -36.5545	      0.0000	    -14.1411	
           8	       react	           1	         -99	           0	          41	     6.95875	    -3.64353	  1.0000e-08	  3.1988e-17	  2.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.1110e-08	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -15.5450	    -37.1459	     -0.0000	    -14.4368	
           8	       react	           1	         -99	           0	          42	     6.94036	     -3.6219	  1.0000e-08	  1.5087e-17	  3.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.1110e-08	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -15.7298	    -37.5155	      0.0000	    -14.6216	
           8	       react	           1	         -99	           0	          43	     6.92238	    -3.60065	  1.0000e-08	  8.8563e-18	  4.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.1110e-08	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -15.8668	    -37.7893	      0.0000	    -14.7585	
           8	       react	           1	         -99	           0	          44	     6.90483	    -3.57984	  1.0000e-08	  5.8754e-18	  5.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.1110e-08	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -15.9767	    -38.0091	      0.0000	    -14.8684	
           8	       react	           1	         -99	           0	          45	     6.88772	    -3.55951	  1.0000e-08	  4.2151e-18	  6.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.1110e-08	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -16.0691	    -38.1940	     -0.0000	    -14.9609	
           8	       react	           1	         -99	           0	          46	     6.87104	    -3.53967	  1.0000e-08	  3.1930e-18	  7.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.1110e-08	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -16.1492	    -38.3543	      0.0000	    -15.0410	
           8	       react	           1	         -99	           0	          47	      6.8548	    -3.52032	  1.0000e-08	  2.5174e-18	  8.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.1110e-08	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -16.2202	    -38.4962	      0.0000	    -15.1120	
           8	       react	           1	         -99	           0	          48	     6.83899	    -3.50147	  1.0000e-08	  2.0464e-18	  9.1110e-08	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.1110e-08	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -16.2840	    -38.6238	      0.0000	    -15.1758	
           8	       react	           1	         -99	           0	          49	     6.82361	     -3.4831	  1.0000e-08	  1.7042e-18	  1.0111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0111e-07	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -16.3421	    -38.7400	     -0.0000	    -15.2339	
           8	       react	           1	         -99	           0	          50	     6.80864	     -3.4652	  1.0000e-08	  1.4473e-18	  1.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1111e-07	  1.0000e-08	  0.0000e+00	  0.0000e+00	    -16.3955	    -38.8468	      0.0000	    -15.2873	
           8	       react	           1	         -99	           0	          51	     6.67926	    -3.30986	  1.0000e-07	  5.0960e-19	  2.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.1111e-07	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -16.7775	    -39.6107	      0.0000	    -15.6692	
           8	       react	           1	         -99	           0	          52	     6.57852	    -3.18812	  1.0000e-07	  2.9029e-19	  3.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.1111e-07	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -17.0214	    -40.0986	     -0.0000	    -15.9132	
           8	       react	           1	         -99	           0	          53	     6.49711	    -3.08927	  1.0000e-07	  2.0046e-19	  4.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.1111e-07	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -17.2007	    -40.4572	      0.0000	    -16.0925	
           8	       react	           1	         -99	           0	          54	     6.42909	    -3.00639	  1.0000e-07	  1.5310e-19	  5.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.1111e-07	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -17.3421	    -40.7401	      0.0000	    -16.2339	
           8	       react	           1	         -99	           0	          55	     6.37076	    -2.93513	  1.0000e-07	  1.2425e-19	  6.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.1111e-07	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -17.4588	    -40.9733	      0.0000	    -16.3505	
           8	       react	           1	         -99	           0	          56	     6.31973	    -2.87264	  1.0000e-07	  1.0498e-19	  7.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.1111e-07	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -17.5579	    -41.1716	      0.0000	    -16.4497	
           8	       react	           1	         -99	           0	          57	     6.27435	    -2.81699	  1.0000e-07	  9.1232e-20	  8.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.1111e-07	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -17.6440	    -41.3439	      0.0000	    -16.5358	
           8	       react	           1	         -99	           0	          58	     6.23351	    -2.76682	  1.0000e-07	  8.0956e-20	  9.1111e-07	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.1111e-07	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -17.7202	    -41.4962	      0.0000	    -16.6120	
           8	       react	           1	         -99	           0	          59	     6.19636	    -2.72112	  1.0000e-07	  7.2990e-20	  1.0111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.0111e-06	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -17.7884	    -41.6326	      0.0000	    -16.6802	
           8	       react	           1	         -99	           0	          60	     6.16228	    -2.67916	  1.0000e-07	  6.6634e-20	  1.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  1.1111e-06	  1.0000e-07	  0.0000e+00	  0.0000e+00	    -17.8502	    -41.7562	      0.0000	    -16.7420	
           8	       react	           1	         -99	           0	          61	     5.92082	    -2.38084	  1.0000e-06	  3.8128e-20	  2.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.1111e-06	  1.0000e-06	  0.0000e+00	  0.0000e+00	    -18.2701	    -42.5959	      0.0000	    -17.1618	
           8	       react	           1	         -99	           0	          62	     5.76824	    -2.19161	  1.0000e-06	  2.8446e-20	  3.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.1111e-06	  1.0000e-06	  0.0000e+00	  0.0000e+00	    -18.5232	    -43.1021	     -0.0000	    -17.4149	
           8	       react	           1	         -99	           0	          63	     5.65611	    -2.05229	  1.0000e-06	  2.3427e-20	  4.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  4.1111e-06	  1.0000e-06	  0.0000e+00	  0.0000e+00	    -18.7049	    -43.4655	     -0.0000	    -17.5966	
           8	       react	           1	         -99	           0	          64	      5.5673	    -1.94183	  1.0000e-06	  2.0293e-20	  5.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  5.1111e-06	  1.0000e-06	  0.0000e+00	  0.0000e+00	    -18.8467	    -43.7492	      0.0000	    -17.7385	
           8	       react	           1	         -99	           0	          65	     5.49373	    -1.85026	  1.0000e-06	  1.8119e-20	  6.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  6.1111e-06	  1.0000e-06	  0.0000e+00	  0.0000e+00	    -18.9631	    -43.9819	      0.0000	    -17.8548	
           8	       react	           1	         -99	           0	          66	     5.43092	    -1.77204	  1.0000e-06	  1.6506e-20	  7.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  7.1111e-06	  1.0000e-06	  0.0000e+00	  0.0000e+00	    -19.0617	    -44.1792	      0.0000	    -17.9535	
           8	       react	           1	         -99	           0	          67	     5.37609	    -1.70374	  1.0000e-06	  1.5250e-20	  8.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  8.1111e-06	  1.0000e-06	  0.0000e+00	  0.0000e+00	    -19.1473	    -44.3505	      0.0000	    -18.0391	
           8	       react	           1	         -99	           0	          68	     5.32746	    -1.64314	  1.0000e-06	  1.4240e-20	  9.1111e-06	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  9.1111e-06	  1.0000e-06	  0.0000e+00	  0.0000e+00	    -19.2230	    -44.5018	     -0.0000	    -18.1148	
