         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           4	       react	           1	         -99	           0	           1	     7.08114	    -9.29001	  1.0000e-12	  3.0000e-12	  1.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.1814	    -85.2929	    -15.4090	    -31.0729	
           4	       react	           1	         -99	           0	           2	     7.08116	    -9.29003	  1.0000e-12	  6.0000e-12	  2.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.8302	    -84.1891	    -15.0076	    -30.7217	
           4	       react	           1	         -99	           0	           3	     7.08117	    -9.29004	  1.0000e-12	  9.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.6248	    -83.5433	    -14.7728	    -30.5162	
           4	       react	           1	         -99	           0	           4	     7.08119	    -9.29006	  1.0000e-12	  1.2000e-11	  4.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.4790	    -83.0852	    -14.6062	    -30.3704	
           4	       react	           1	         -99	           0	           5	      7.0812	    -9.29007	  1.0000e-12	  1.5000e-11	  5.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.3659	    -82.7298	    -14.4770	    -30.2573	
           4	       react	           1	         -99	           0	           6	     7.08122	    -9.29009	  1.0000e-12	  1.8000e-11	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.2735	    -82.4394	    -14.3714	    -30.1649	
           4	       react	           1	         -99	           0	           7	     7.08123	     -9.2901	  1.0000e-12	  2.1000e-11	  7.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.1954	    -82.1938	    -14.2821	    -30.0868	
           4	       react	           1	         -99	           0	           8	     7.08125	    -9.29012	  1.0000e-12	  2.4000e-11	  8.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.1277	    -81.9811	    -14.2047	    -30.0191	
           4	       react	           1	         -99	           0	           9	     7.08126	    -9.29013	  1.0000e-12	  2.7000e-11	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.0680	    -81.7935	    -14.1365	    -29.9594	
           4	       react	           1	         -99	           0	          10	     7.08128	    -9.29015	  1.0000e-12	  3.0000e-11	  1.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.0146	    -81.6256	    -14.0755	    -29.9060	
           4	       react	           1	         -99	           0	          11	     7.08142	     -9.2903	  1.0000e-11	  6.0000e-11	  2.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.6631	    -80.5212	    -13.6739	    -29.5546	
           4	       react	           1	         -99	           0	          12	     7.08157	    -9.29044	  1.0000e-11	  9.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.4574	    -79.8748	    -13.4389	    -29.3489	
           4	       react	           1	         -99	           0	          13	     7.08172	    -9.29059	  1.0000e-11	  1.2000e-10	  4.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.3114	    -79.4160	    -13.2721	    -29.2029	
           4	       react	           1	         -99	           0	          14	     7.08187	    -9.29074	  1.0000e-11	  1.5000e-10	  5.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.1981	    -79.0600	    -13.1427	    -29.0896	
           4	       react	           1	         -99	           0	          15	     7.08202	    -9.29089	  1.0000e-11	  1.8000e-10	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.1055	    -78.7690	    -13.0370	    -28.9969	
           4	       react	           1	         -99	           0	          16	     7.08216	    -9.29104	  1.0000e-11	  2.1000e-10	  7.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.0271	    -78.5228	    -12.9475	    -28.9186	
           4	       react	           1	         -99	           0	          17	     7.08231	    -9.29118	  1.0000e-11	  2.4000e-10	  8.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.9592	    -78.3095	    -12.8700	    -28.8507	
           4	       react	           1	         -99	           0	          18	     7.08246	    -9.29133	  1.0000e-11	  2.7000e-10	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.8993	    -78.1212	    -12.8016	    -28.7908	
           4	       react	           1	         -99	           0	          19	     7.08261	    -9.29148	  1.0000e-11	  3.0000e-10	  1.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.8457	    -77.9528	    -12.7404	    -28.7371	
           4	       react	           1	         -99	           0	          20	     7.08276	    -9.29163	  1.0000e-11	  3.3000e-10	  1.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.7971	    -77.8003	    -12.6850	    -28.6886	
           4	       react	           1	         -99	           0	          21	     7.08424	    -9.29311	  1.0000e-10	  6.3000e-10	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.4670	    -76.7637	    -12.3086	    -28.3585	
           4	       react	           1	         -99	           0	          22	     7.08572	    -9.29459	  1.0000e-10	  9.3000e-10	  3.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.2673	    -76.1366	    -12.0811	    -28.1587	
           4	       react	           1	         -99	           0	          23	      7.0872	    -9.29607	  1.0000e-10	  1.2300e-09	  4.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.1231	    -75.6845	    -11.9172	    -28.0146	
           4	       react	           1	         -99	           0	          24	     7.08868	    -9.29755	  1.0000e-10	  1.5300e-09	  5.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.0101	    -75.3301	    -11.7889	    -27.9015	
           4	       react	           1	         -99	           0	          25	     7.09016	    -9.29903	  1.0000e-10	  1.8300e-09	  6.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.9169	    -75.0381	    -11.6832	    -27.8084	
           4	       react	           1	         -99	           0	          26	     7.09164	    -9.30051	  1.0000e-10	  2.1300e-09	  7.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.8375	    -74.7895	    -11.5934	    -27.7290	
           4	       react	           1	         -99	           0	          27	     7.09312	    -9.30199	  1.0000e-10	  2.4300e-09	  8.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.7683	    -74.5727	    -11.5151	    -27.6598	
           4	       react	           1	         -99	           0	          28	      7.0946	    -9.30347	  1.0000e-10	  2.7300e-09	  9.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.7069	    -74.3805	    -11.4457	    -27.5983	
           4	       react	           1	         -99	           0	          29	     7.09608	    -9.30495	  1.0000e-10	  3.0300e-09	  1.0100e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.6516	    -74.2076	    -11.3834	    -27.5430	
