         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	       react	           1	         -99	           0	           1	     7.08113	       -9.29	  1.0000e-12	  1.0000e-12	  3.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.5791	    -86.4063	    -15.7271	    -31.4705	
           2	       react	           1	         -99	           0	           2	     7.08113	    -9.29001	  1.0000e-12	  2.0000e-12	  6.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.2279	    -85.3025	    -15.3257	    -31.1193	
           2	       react	           1	         -99	           0	           3	     7.08114	    -9.29001	  1.0000e-12	  3.0000e-12	  9.0000e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -32.0224	    -84.6568	    -15.0909	    -30.9139	
           2	       react	           1	         -99	           0	           4	     7.08114	    -9.29001	  1.0000e-12	  4.0000e-12	  1.2000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.8767	    -84.1987	    -14.9243	    -30.7681	
           2	       react	           1	         -99	           0	           5	     7.08114	    -9.29001	  1.0000e-12	  5.0000e-12	  1.5000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.7636	    -83.8433	    -14.7951	    -30.6550	
           2	       react	           1	         -99	           0	           6	     7.08114	    -9.29002	  1.0000e-12	  6.0000e-12	  1.8000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.6712	    -83.5530	    -14.6895	    -30.5627	
           2	       react	           1	         -99	           0	           7	     7.08115	    -9.29002	  1.0000e-12	  7.0000e-12	  2.1000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.5931	    -83.3075	    -14.6003	    -30.4846	
           2	       react	           1	         -99	           0	           8	     7.08115	    -9.29002	  1.0000e-12	  8.0000e-12	  2.4000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.5254	    -83.0948	    -14.5229	    -30.4169	
           2	       react	           1	         -99	           0	           9	     7.08115	    -9.29002	  1.0000e-12	  9.0000e-12	  2.7000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.4658	    -82.9073	    -14.4547	    -30.3572	
           2	       react	           1	         -99	           0	          10	     7.08115	    -9.29003	  1.0000e-12	  1.0000e-11	  3.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.4124	    -82.7395	    -14.3937	    -30.3038	
           2	       react	           1	         -99	           0	          11	     7.08118	    -9.29005	  1.0000e-11	  2.0000e-11	  6.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -31.0611	    -81.6356	    -13.9923	    -29.9526	
           2	       react	           1	         -99	           0	          12	     7.08121	    -9.29008	  1.0000e-11	  3.0000e-11	  9.0000e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.8556	    -80.9898	    -13.7575	    -29.7471	
           2	       react	           1	         -99	           0	          13	     7.08123	     -9.2901	  1.0000e-11	  4.0000e-11	  1.2000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.7098	    -80.5316	    -13.5909	    -29.6013	
           2	       react	           1	         -99	           0	          14	     7.08126	    -9.29013	  1.0000e-11	  5.0000e-11	  1.5000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.5967	    -80.1761	    -13.4616	    -29.4882	
           2	       react	           1	         -99	           0	          15	     7.08128	    -9.29016	  1.0000e-11	  6.0000e-11	  1.8000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.5043	    -79.8857	    -13.3560	    -29.3958	
           2	       react	           1	         -99	           0	          16	     7.08131	    -9.29018	  1.0000e-11	  7.0000e-11	  2.1000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.4262	    -79.6401	    -13.2667	    -29.3176	
           2	       react	           1	         -99	           0	          17	     7.08134	    -9.29021	  1.0000e-11	  8.0000e-11	  2.4000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.3585	    -79.4273	    -13.1894	    -29.2499	
           2	       react	           1	         -99	           0	          18	     7.08136	    -9.29023	  1.0000e-11	  9.0000e-11	  2.7000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.2987	    -79.2396	    -13.1211	    -29.1902	
           2	       react	           1	         -99	           0	          19	     7.08139	    -9.29026	  1.0000e-11	  1.0000e-10	  3.0000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.2453	    -79.0717	    -13.0601	    -29.1368	
           2	       react	           1	         -99	           0	          20	     7.08141	    -9.29029	  1.0000e-11	  1.1000e-10	  3.3000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -30.1970	    -78.9198	    -13.0049	    -29.0884	
           2	       react	           1	         -99	           0	          21	     7.08168	    -9.29055	  1.0000e-10	  2.1000e-10	  6.3000e-10	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -29.8689	    -77.8889	    -12.6301	    -28.7604	
