         sim	       state	        soln	      dist_x	        time	        step	          pH	          pe	    reaction	          Fe	           S	 Mackinawite	d_Mackinawite	    Greigite	  d_Greigite	      Pyrite	    d_Pyrite	  Pyrrhotite	d_Pyrrhotite	si_Mackinawite	 si_Greigite	   si_Pyrite	si_Pyrrhotite	
           2	      i_soln	           1	         -99	         -99	         -99	       6.999	       -3.38	         -99	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	   -999.9990	   -999.9990	   -999.9990	
           2	       react	           1	         -99	           0	           1	           2	        2.95	  1.0000e-12	  1.0018e-12	  3.0054e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.6472	    -89.7476	    -26.3975	    -27.6055	
           2	       react	           1	         -99	           0	           2	           2	        2.95	  1.0000e-12	  2.0036e-12	  6.0108e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -28.0452	    -87.6404	    -25.4944	    -27.0035	
           2	       react	           1	         -99	           0	           3	           2	        2.95	  1.0000e-12	  3.0054e-12	  9.0162e-12	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.6930	    -86.4078	    -24.9662	    -26.6513	
           2	       react	           1	         -99	           0	           4	           2	        2.95	  1.0000e-12	  4.0072e-12	  1.2022e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.4431	    -85.5332	    -24.5914	    -26.4014	
           2	       react	           1	         -99	           0	           5	           2	        2.95	  1.0000e-12	  5.0090e-12	  1.5027e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.2493	    -84.8548	    -24.3006	    -26.2076	
           2	       react	           1	         -99	           0	           6	           2	        2.95	  1.0000e-12	  6.0108e-12	  1.8032e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -27.0909	    -84.3006	    -24.0631	    -26.0492	
           2	       react	           1	         -99	           0	           7	           2	        2.95	  1.0000e-12	  7.0126e-12	  2.1038e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.9570	    -83.8319	    -23.8622	    -25.9153	
           2	       react	           1	         -99	           0	           8	           2	        2.95	  1.0000e-12	  8.0144e-12	  2.4043e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.8410	    -83.4260	    -23.6883	    -25.7993	
           2	       react	           1	         -99	           0	           9	           2	        2.95	  1.0000e-12	  9.0162e-12	  2.7049e-11	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -26.7387	    -83.0679	    -23.5348	    -25.6970	
